method,nrep,time,iter
LQH,1,14.9273,886
LSE,1,4.6772,20
Riemannian_SQP,1,0.71848,10
ALM,2,6.5558,19
Riemannian_SQP,2,5.8983,83
ALM,3,1.4322,18
LQH,3,0.55019,20
Riemannian_SQP,3,0.62548,9
ALM,4,6.6669,21
Riemannian_SQP,4,36.076,515
ALM,5,4.2418,20
LQH,5,3.4964,157
Riemannian_SQP,5,0.79076,11
ALM,6,2.93,20
LQH,6,10.3108,617
LSE,6,7.6299,295
Riemannian_SQP,6,1.3079,17
ALM,7,5.1080000000000005,21
LQH,7,11.5728,673
LSE,7,1.9246,20
Riemannian_SQP,7,4.4543,59
ALM,8,7.8243,22
LSE,8,2.0222,21
Riemannian_SQP,8,2.245,28
ALM,9,1.9727,21
LQH,9,0.70209,28
LSE,9,1.5334,30
Riemannian_SQP,9,0.74875,10
LQH,10,0.49294,19
LSE,10,1.6166,20
Riemannian_SQP,10,0.41646000000000005,6
ALM,11,1.5833,31
LQH,11,0.5179600000000001,18
LSE,11,13.2097,530
Riemannian_SQP,11,1.0053,13
ALM,12,3.4329,21
LQH,12,14.9323,908
LSE,12,29.8916,1308
Riemannian_SQP,12,0.89466,12
ALM,13,7.6934,17
LQH,13,4.291,205
LSE,13,23.8047,331
Riemannian_SQP,13,3.195,42
LQH,14,15.5237,757
Riemannian_SQP,14,0.80174,11
ALM,15,1.6594,20
LQH,15,17.6981,1062
LSE,15,9.6549,349
Riemannian_SQP,15,0.5724,8
ALM,16,0.67498,19
LQH,16,20.3552,1252
LSE,16,1.9011,20
Riemannian_SQP,16,0.98044,13
ALM,17,1.2976,31
LQH,17,0.91148,20
LSE,17,39.493,1464
Riemannian_SQP,17,1.8563,25
ALM,18,0.7308100000000001,20
LSE,18,2.2746,33
Riemannian_SQP,18,0.89339,12
ALM,19,5.5048,20
LQH,19,10.5696,366
Riemannian_SQP,19,2.6487,34
ALM,20,1.7183,29
LQH,20,0.81088,21
LSE,20,3.8641,18
Riemannian_SQP,20,1.4609999999999999,20
