method,nrep,time,iter
Riemannian_SQP,1,0.6763100000000001,9
Riemannian_SQP,2,2.9031,40
LQH,3,13.6978,754
Riemannian_SQP,3,1.0548,14
ALM,4,11.1081,27
Riemannian_SQP,4,15.7419,199
Riemannian_SQP,5,0.84226,12
ALM,6,1.7759,21
Riemannian_SQP,6,6.4110000000000005,87
LSE,7,8.8732,333
Riemannian_SQP,7,3.1856,42
Riemannian_SQP,8,1.3271,18
ALM,9,1.7186,21
LSE,9,10.7815,343
Riemannian_SQP,9,6.7056,79
ALM,10,2.9044,20
LQH,10,18.9475,1093
Riemannian_SQP,10,1.0046,14
Riemannian_SQP,11,2.4709,32
ALM,12,4.2624,20
Riemannian_SQP,12,0.6913699999999999,9
Riemannian_SQP,13,1.1065,15
ALM,14,3.9399,22
LQH,14,6.9158,364
Riemannian_SQP,14,48.6257,569
LQH,15,5.5762,268
LSE,15,3.613,22
Riemannian_SQP,15,2.4296,33
ALM,16,4.3738,22
Riemannian_SQP,16,1.5907,21
LSE,17,15.8556,329
Riemannian_SQP,17,4.7435,58
ALM,18,7.6264,21
Riemannian_SQP,18,31.0575,410
LQH,19,4.5912,209
Riemannian_SQP,19,0.72009,10
Riemannian_SQP,20,12.5975,146
