method,nrep,time,iter
LQH,1,28.5511,1630
LSE,1,6.7045,217
Riemannian_SQP,1,0.5787399999999999,8
LSE,2,1.4651,20
LQH,3,2.0623,33
Riemannian_SQP,3,1.1525,15
LSE,4,50.9268,1324
Riemannian_SQP,4,1.5425,21
LQH,5,2.7687,102
LSE,5,4.1132,51
Riemannian_SQP,5,1.9334,26
Riemannian_SQP,6,0.64983,9
ALM,7,2.6458,21
LQH,7,53.8429,3040
LSE,7,10.7692,433
Riemannian_SQP,7,0.57245,8
LSE,8,39.3335,148
Riemannian_SQP,8,1.6906,22
ALM,9,8.8258,20
Riemannian_SQP,9,1.1284,15
ALM,10,15.6542,22
LQH,10,13.4922,718
LSE,10,2.3293,42
LQH,11,2.5321,19
LSE,11,9.2286,207
Riemannian_SQP,11,0.93747,13
ALM,12,4.6071,15
LQH,12,15.1028,658
Riemannian_SQP,12,1.5873,21
LQH,13,1.444,71
LSE,13,5.2063,177
Riemannian_SQP,13,0.44287,6
LSE,14,11.9428,181
Riemannian_SQP,14,6.0679,85
ALM,15,11.2726,20
LSE,15,51.4667,893
Riemannian_SQP,15,0.77298,11
ALM,16,7.8463,21
LQH,16,23.025,824
LQH,17,0.56692,16
LSE,17,2.6182,18
ALM,18,10.0247,31
LQH,18,0.73328,21
LSE,18,13.0947,23
ALM,19,2.4116,21
LSE,19,1.3761,18
Riemannian_SQP,19,0.91922,12
ALM,20,16.9075,34
LQH,20,1.4161,65
LSE,20,29.669,1246
Riemannian_SQP,20,1.0143,13
