,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.6629000000000002e-05,-3
1,0.0,0.0,0.0,2.6629000000000002e-05,-2
2,0.0,0.0,0.0,2.6629000000000002e-05,-1
3,0.6619,0.0,0.10743,0.041407,0
4,1.2885,0.10679000000000001,0.10743,0.12149000000000001,1
5,1.3536,0.10679000000000001,0.38429,0.2369,2
6,1.3979,0.30791999999999997,0.5081,0.2752,3
7,1.4964,0.38703000000000004,0.79803,0.3132,4
8,1.8545,0.53456,0.99729,0.3132,5
9,,,,0.35126999999999997,6
10,,,,0.35126999999999997,7
11,,,,0.35126999999999997,8
12,,,,0.35126999999999997,9
