method,nrep,time,iter
LQH,1,0.7006,22
Riemannian_SQP,1,0.33874,8
LQH,2,8.4783,350
LSE,2,3.3349,35
Riemannian_SQP,2,10.1564,256
LQH,3,0.50793,19
LSE,3,2.4137,22
Riemannian_SQP,3,0.42771000000000003,11
ALM,4,1.2512,30
LQH,4,12.4025,837
LSE,4,28.5277,1599
Riemannian_SQP,4,0.26766999999999996,7
LQH,5,2.245,20
LSE,5,17.1919,950
Riemannian_SQP,5,0.34368000000000004,9
ALM,6,3.4775,16
LSE,6,34.4282,1942
Riemannian_SQP,6,0.28447,7
LQH,7,0.81782,18
LSE,7,3.3397,18
Riemannian_SQP,7,0.64493,15
LQH,8,12.2329,845
Riemannian_SQP,8,0.40424,10
LQH,9,2.9275,88
LSE,9,35.1472,1823
Riemannian_SQP,9,6.563,134
LQH,10,0.32611999999999997,22
LSE,10,18.4658,1059
Riemannian_SQP,10,0.41194,11
LQH,11,5.7882,313
Riemannian_SQP,11,1.4602,34
LQH,12,6.4879,371
LSE,12,4.276,132
Riemannian_SQP,12,0.29356,7
LQH,13,1.9318,77
LSE,13,10.2697,22
Riemannian_SQP,13,0.50436,12
ALM,14,1.6776,18
LQH,14,1.0745,47
Riemannian_SQP,14,0.52958,13
ALM,15,8.7295,27
LQH,15,0.53655,21
Riemannian_SQP,15,0.5726899999999999,13
ALM,16,4.6751,21
LQH,16,0.60602,20
Riemannian_SQP,16,0.3565,9
LQH,17,1.124,41
LSE,17,4.4923,42
Riemannian_SQP,17,0.45695,11
ALM,18,5.2885,30
LQH,18,0.55399,20
LSE,18,21.8905,869
Riemannian_SQP,18,0.31417,8
ALM,19,2.4202,20
LQH,19,2.6109,156
LSE,19,4.1287,196
Riemannian_SQP,19,0.36956999999999995,9
LQH,20,0.5588,19
Riemannian_SQP,20,0.48739,12
