method,nrep,time,iter
ALM,1,1.3042,20
Riemannian_SQP,1,0.99879,24
LQH,2,0.55982,21
LSE,2,4.5514,144
Riemannian_SQP,2,3.3807,66
ALM,3,2.0239,17
LSE,3,54.7285,2897
Riemannian_SQP,3,0.64273,16
ALM,4,8.287,21
LQH,4,13.1884,971
LSE,4,3.6112,122
Riemannian_SQP,4,0.56923,14
ALM,5,2.5064,20
LQH,5,31.8808,2205
Riemannian_SQP,5,1.3815,34
ALM,6,1.1609,22
LQH,6,8.6872,632
LSE,6,4.9987,192
Riemannian_SQP,6,1.9916,43
ALM,7,1.1797,20
LSE,7,3.8009,67
Riemannian_SQP,7,0.69453,16
ALM,8,3.4659,20
LQH,8,0.375,21
LSE,8,1.7772,19
Riemannian_SQP,8,2.4107,61
LQH,9,0.56984,18
LSE,9,5.1345,189
Riemannian_SQP,9,0.55097,13
ALM,10,4.8803,18
LQH,10,17.2011,1311
LSE,10,4.0745,117
Riemannian_SQP,10,0.51181,12
ALM,11,0.9154700000000001,19
LQH,11,29.645,2124
Riemannian_SQP,11,10.9788,241
LQH,12,25.815,1947
LSE,12,3.0725,54
Riemannian_SQP,12,32.9497,642
ALM,13,1.0024,20
LSE,13,2.7026,84
Riemannian_SQP,13,28.0686,726
ALM,14,2.1341,20
LQH,14,22.3678,1675
LSE,14,9.6617,223
Riemannian_SQP,14,0.7066399999999999,16
LSE,15,4.4621,156
Riemannian_SQP,15,0.47833000000000003,12
ALM,16,1.7596,19
LQH,16,2.3111,103
LSE,16,23.8879,1109
Riemannian_SQP,16,0.43359,11
Riemannian_SQP,17,0.50562,12
ALM,18,2.1409,21
LQH,18,0.30568,16
Riemannian_SQP,18,0.73474,17
LQH,19,3.7292,46
LSE,19,2.4496,22
Riemannian_SQP,19,0.48001000000000005,11
LQH,20,0.62034,17
LSE,20,1.9201,17
Riemannian_SQP,20,1.2139,27
