method,nrep,time,iter
ALM,1,2.9375,21
LQH,1,0.42971000000000004,21
LSE,1,4.4242,19
Riemannian_SQP,1,1.2214,16
LQH,2,0.55871,32
LSE,2,2.0149,20
Riemannian_SQP,2,0.88826,12
LQH,3,2.8215,171
LSE,3,2.4914,20
Riemannian_SQP,3,2.0993,26
ALM,4,2.6053,21
LQH,4,12.9717,820
LSE,4,1.6715,23
Riemannian_SQP,4,0.5204300000000001,7
LQH,5,0.60344,19
LSE,5,3.7046,20
Riemannian_SQP,5,3.238,40
LSE,6,15.1695,214
Riemannian_SQP,6,25.2929,307
Riemannian_SQP,7,8.7164,113
ALM,8,1.206,20
LQH,8,57.857,3658
LSE,8,2.1953,19
Riemannian_SQP,8,1.8028,23
LQH,9,0.37724,19
Riemannian_SQP,9,0.77845,10
ALM,10,1.0232,21
LQH,10,3.9019,233
LSE,10,1.7741,23
Riemannian_SQP,10,1.6815,22
LQH,11,56.32899999999999,3650
LSE,11,4.4703,17
Riemannian_SQP,11,2.5921,34
ALM,12,1.9083,20
LQH,12,0.31558,20
LSE,12,29.3334,1227
Riemannian_SQP,12,1.9028,25
LQH,13,34.4236,2173
LSE,13,23.7229,793
Riemannian_SQP,13,44.1255,523
LQH,14,4.1662,259
LSE,14,47.0309,2036
Riemannian_SQP,14,1.1941,16
ALM,15,0.45398999999999995,20
LQH,15,0.341,21
LSE,15,2.0501,18
Riemannian_SQP,15,5.4643,63
ALM,16,2.5693,31
LQH,16,0.35070999999999997,17
LSE,16,7.4074,253
Riemannian_SQP,16,1.1324,15
ALM,17,1.786,20
LQH,17,0.40403,19
LSE,17,2.4414,32
Riemannian_SQP,17,1.6909,21
ALM,18,1.1279,19
LQH,18,0.36861,22
LSE,18,3.2634,20
Riemannian_SQP,18,2.9024,35
ALM,19,2.2804,19
LQH,19,0.6462100000000001,30
LSE,19,8.2224,191
Riemannian_SQP,19,5.553,72
ALM,20,1.5016,20
LQH,20,1.0998,70
LSE,20,13.6217,528
Riemannian_SQP,20,1.5609,20
