"iter","cost",
0,920.6776,
1,774.9276,
2,601.0385,
3,518.1169,
4,393.3369,
5,367.0424,
6,341.6412,
7,332.2113,
8,314.0714,
9,303.015,
10,301.4286,
11,293.3194,
12,293.1534,
13,288.1256,
14,274.1163,
15,273.2645,
16,236.5277,
17,236.5171,
18,236.0903,
19,233.7308,
20,233.7002,
21,233.0846,
22,230.9047,
23,230.8942,
24,230.6707,
25,230.1972,
26,229.752,
27,229.727,
28,228.7157,
29,228.6858,
30,227.0963,
31,227.092,
32,224.2025,
33,223.8971,
34,223.8802,
35,220.6093,
36,220.6089,
37,220.3289,
38,194.8286,
39,194.433,
40,194.0273,
41,164.5274,
42,139.2303,
43,138.9188,
44,138.9159,
45,136.0151,
46,135.9664,
47,119.375,
48,118.3088,
49,117.9995,
50,117.7333,
51,115.4447,
52,115.4351,
53,114.1409,
54,105.6343,
55,105.6064,
56,105.6054,
57,105.0223,
58,104.7904,
59,104.6723,
60,104.6105,
61,104.5761,
62,104.5674,
63,104.5597,
64,104.5282,
65,104.3842,
66,103.9046,
67,103.2026,
68,103.1941,
69,102.9355,
70,102.4548,
71,102.0302,
72,102.0278,
73,101.9648,
74,101.609,
75,100.6281,
76,100.6227,
77,100.6071,
78,100.607,
79,97.9459,
80,97.9452,
81,97.5181,
82,97.5117,
83,97.4966,
84,96.6863,
85,96.463,
86,96.4672,
87,96.4644,
88,96.4391,
89,96.4391,
