"iter","cost",
0,1788.376,
1,1669.5468,
2,1532.7561,
3,1425.3771,
4,1258.4047,
5,823.981,
6,670.7347,
7,538.6559,
8,459.5585,
9,453.9917,
10,411.9588,
11,374.5261,
12,372.8617,
13,351.7154,
14,346.4468,
15,335.6353,
16,293.0443,
17,281.4599,
18,259.4884,
19,254.8879,
20,244.221,
21,241.5366,
22,239.3119,
23,239.1733,
24,238.1661,
25,238.1624,
26,238.1123,
27,236.0746,
28,236.0541,
29,236.0026,
30,218.7344,
31,209.4369,
32,209.3912,
33,206.6997,
34,205.3083,
35,204.588,
36,204.2169,
37,203.7312,
38,203.73,
39,201.3402,
40,199.6967,
41,199.6967,
42,200.5769,
43,200.7342,
44,200.7348,
45,200.7355,
46,200.7358,
47,200.7355,
48,200.7348,
49,200.7333,
50,200.7272,
51,200.6949,
52,200.5295,
53,200.4814,
54,200.4811,
55,200.4428,
55,200.4428,
