"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
56,29.8214,1.0915,0.8703,1.4552e-11,0,0.00014925,1,556.5023,1.0915,0.00035521,0.00035521,
57,29.8212,1.0985,0.88703,1.4552e-11,0,0.00015047,1,556.5023,1.0985,0.00035536,0.00035536,
58,29.821,1.1046,0.90848,1.4552e-11,0,0.00015155,1,556.5023,1.1046,0.00035552,0.00035552,
59,29.8209,1.1097,0.92751,1.4552e-11,0,0.0001525,1,556.5023,1.1097,0.00035568,0.00035568,
60,29.8207,1.1137,0.94556,1.4552e-11,0,0.00015329,1,556.5023,1.1137,0.00035585,0.00035585,
61,29.8206,1.1167,0.96123,1.4552e-11,0,0.00015392,1,556.5023,1.1167,0.00035601,0.00035601,
62,29.8204,1.1185,0.97683,1.4552e-11,0,0.00015436,1,556.5023,1.1185,0.00035618,0.00035618,
63,29.8202,1.1193,0.99224,1.4552e-11,0,0.00015452,1,556.5023,1.1193,0.00035634,0.00035634,
64,29.8201,1.1189,1.0088,1.4552e-11,0,0.00015463,1,556.5023,1.1189,0.0003565,0.0003565,
65,29.8194,5.1368,1.0189,3.0518e-05,0,0.0014509,1,556.5023,5.1368,0.00035739,0.00035739,
66,29.8192,1.1119,1.0346,1.4552e-11,0,0.0001566,1,556.5023,1.1119,0.00035755,0.00035755,
67,29.8103,1.2442,1.0432,0.015625,0,0.032214,1,556.5023,1.2442,0.00036684,0.00036684,
68,29.8101,1.0377,1.0591,1.4552e-11,0,0.00014357,1,556.5023,1.0377,0.00036696,0.00036696,
69,29.7324,1.1598,1.0674,0.25,0,0.42121,1,556.5023,1.1598,2.7044e-05,2.7044e-05,
70,29.7301,0.36925,1.0758,0.03125,0,0.009165,1,556.5023,0.36925,2.8056e-05,2.8056e-05,
71,29.7066,2.4111,1.0834,0.5,0,0.17713,1,556.5023,2.4111,2.0412e-05,2.0412e-05,
72,29.6974,1.1732,1.0939,1,0,0.090146,1,556.5023,1.1732,1.7737e-05,1.7737e-05,
73,29.6972,1.1971,1.1135,1.4552e-11,0,0.00016789,1,556.5023,1.1971,1.7911e-05,1.7911e-05,
74,29.697,1.2106,1.1339,1.4552e-11,0,0.00017253,1,556.5023,1.2106,1.8097e-05,1.8097e-05,
75,29.6968,1.2031,1.1508,1.4552e-11,0,0.00017438,1,556.5023,1.2031,1.8285e-05,1.8285e-05,
76,29.6966,1.1771,1.1663,1.4552e-11,0,0.00017279,1,556.5023,1.1771,1.8464e-05,1.8464e-05,
77,29.696,1.124,1.1752,0.03125,0,0.0019758,1,556.5023,1.124,1.8858e-05,1.8858e-05,
78,29.6952,0.90964,1.1828,0.0625,0,0.0039312,1,556.5023,0.90964,1.9647e-05,1.9647e-05,
79,29.6938,0.44695,1.1908,0.25,0,0.015735,1,556.5023,0.44695,1.8481e-05,1.8481e-05,
80,29.6933,0.80339,1.1972,1,0,0.06488,1,556.5023,0.80339,2.0491e-06,2.0491e-06,
81,29.6932,0.13562,1.2047,0.5,0,0.0058639,1,556.5023,0.13562,1.8066e-06,1.8066e-06,
82,29.6935,0.36542,1.2111,1,0,0.010851,1,556.5023,0.36542,4.1208e-07,4.1208e-07,
83,29.6934,0.6097,1.2197,0.25,0,9.2342e-05,1,556.5023,0.6097,5.9575e-07,5.9575e-07,
84,29.6933,0.2484,1.2272,0.25,0,7.4239e-05,1,556.5023,0.2484,7.8995e-07,7.8995e-07,
85,29.6933,0.15489,1.2346,0.5,0,0.00011283,1,556.5023,0.15489,1.0436e-06,1.0436e-06,
86,29.6932,0.0052648,1.2416,1,0,0.00011815,1,556.5023,0.0052648,1.2433e-06,1.2433e-06,
87,29.6932,0.00018505,1.2488,1,0,1.3047e-05,1,556.5023,0.00018505,1.2073e-06,1.2073e-06,
88,29.6932,1.4672e-05,1.2555,1,0,1.895e-06,1,556.5023,1.4722e-05,1.2159e-06,1.2159e-06,
89,29.6932,1.0768e-06,1.2621,1,0,5.0188e-07,1,556.5023,1.6224e-06,1.2136e-06,1.2136e-06,
90,29.6932,7.6871e-08,1.2695,1,0,1.351e-07,1,556.5023,1.2167e-06,1.2142e-06,1.2142e-06,
91,29.6932,5.5161e-09,1.2761,1,0,3.635e-08,1,556.5023,1.2141e-06,1.2141e-06,1.2141e-06,
