"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
51,6.6295,5.9768e-09,774352437.514,1.308e-09,6.5685e-11,2.5899e-16,0.45243,0.078045,0.078045,
52,6.682,0,2581174791.7132,1.308e-09,6.5685e-11,2.5899e-16,1.4653,0.27842,0.27842,
53,6.7352,0,8603915972.3773,1.308e-09,6.5685e-11,2.5899e-16,4.8415,0.94664,0.94664,
54,6.7884,0,28679719907.9244,1.308e-09,6.5685e-11,2.5899e-16,16.0955,3.1741,3.1741,
55,6.848,0,95599066359.7481,1.308e-09,6.5685e-11,2.5899e-16,20,10.5991,10.5991,
56,6.9065,0,318663554532.4938,1.308e-09,6.5685e-11,2.5899e-16,20,34.0337,34.0337,
57,6.9614,0,1062211848441.646,1.308e-09,6.5685e-11,2.5899e-16,20,102.8887,102.8887,
58,7.0144,0,3540706161472.154,1.308e-09,6.5685e-11,2.5899e-16,20,298.8198,298.8198,
59,7.0708,0,11802353871573.85,1.308e-09,6.5685e-11,2.5899e-16,20,937.3441,937.3441,
60,7.1252,0,39341179571912.82,1.308e-09,6.5685e-11,2.5899e-16,20,3072.2277,3072.2277,
61,7.1771,0,131137265239709.4,1.308e-09,6.5685e-11,2.5899e-16,20,10201.9897,10201.9897,
62,7.233,0,437124217465698.1,1.308e-09,6.5685e-11,2.5899e-16,20,33968.7297,33968.7297,
63,7.2852,0,1457080724885660,1.308e-09,6.5685e-11,2.5899e-16,20,113186.2266,113186.2266,
64,7.3409,0,4856935749618868,1.308e-09,6.5685e-11,2.5899e-16,20,377244.6598,377244.6598,
65,7.3979,0,1.618978583206289e+16,1.308e-09,6.5685e-11,2.5899e-16,20,1257439.4704,1257439.4704,
66,7.4521,0,5.396595277354298e+16,1.308e-09,6.5685e-11,2.5899e-16,20,4191422.1823,4191422.1823,
67,7.5088,0,1.798865092451433e+17,1.308e-09,6.5685e-11,2.5899e-16,20,13971364.5584,13971364.5584,
68,7.5672,0,5.996216974838111e+17,1.308e-09,6.5685e-11,2.5899e-16,20,46571172.4796,46571172.4796,
69,7.623,0,1.998738991612704e+18,1.308e-09,6.5685e-11,2.5899e-16,20,155237198.8839,155237198.8839,
70,7.6826,0,6.662463305375679e+18,1.308e-09,6.5685e-11,2.5899e-16,20,517457286.898,517457286.898,
71,7.7406,0,2.220821101791893e+19,1.308e-09,6.5685e-11,2.5899e-16,20,1724857580.2787,1724857580.2787,
72,7.7977,0,7.402737005972978e+19,1.308e-09,6.5685e-11,2.5899e-16,20,5749525224.8809,5749525224.8809,
73,7.8561,0,2.467579001990993e+20,1.308e-09,6.5685e-11,2.5899e-16,20,19165084040.2217,19165084040.2217,
74,7.9236,0,8.225263339969975e+20,1.308e-09,6.5685e-11,2.5899e-16,20,63883613424.691,63883613424.691,
75,7.9844,0,2.741754446656658e+21,1.308e-09,6.5685e-11,2.5899e-16,20,212945378039.5883,212945378039.5883,
76,8.0433,0,9.139181488855528e+21,1.308e-09,6.5685e-11,2.5899e-16,20,709817926755.9133,709817926755.9133,
77,8.1,0,3.046393829618509e+22,1.308e-09,6.5685e-11,2.5899e-16,20,2366059755810.33,2366059755810.33,
78,8.1548,0,1.015464609872836e+23,1.308e-09,6.5685e-11,2.5899e-16,20,7886865852658.384,7886865852658.384,
79,8.2118,0,3.384882032909455e+23,1.308e-09,6.5685e-11,2.5899e-16,20,26289552842151.89,26289552842151.89,
80,8.2663,0,1.128294010969818e+24,1.308e-09,6.5685e-11,2.5899e-16,20,87631842807130.28,87631842807130.28,
81,8.319,0,3.760980036566062e+24,1.308e-09,6.5685e-11,2.5899e-16,20,292106142690391.6,292106142690391.6,
82,8.3761,0,1.253660012188687e+25,1.308e-09,6.5685e-11,2.5899e-16,20,973687142301262.5,973687142301262.5,
83,8.4295,0,4.178866707295624e+25,1.308e-09,6.5685e-11,2.5899e-16,20,3245623807670833,3245623807670833,
84,8.4824,0,1.392955569098541e+26,1.308e-09,6.5685e-11,2.5899e-16,20,1.08187460255694e+16,1.08187460255694e+16,
85,8.5367,0,4.643185230328472e+26,1.308e-09,6.5685e-11,2.5899e-16,20,3.606248675189796e+16,3.606248675189796e+16,
86,8.5884,0,1.547728410109491e+27,1.308e-09,6.5685e-11,2.5899e-16,20,1.202082891729932e+17,1.202082891729932e+17,
87,8.6437,0,5.15909470036497e+27,1.308e-09,6.5685e-11,2.5899e-16,20,4.006942972433105e+17,4.006942972433105e+17,
88,8.6988,0,1.71969823345499e+28,1.308e-09,6.5685e-11,2.5899e-16,20,1.335647657477702e+18,1.335647657477702e+18,
89,8.7601,0,5.732327444849967e+28,1.308e-09,6.5685e-11,2.5899e-16,20,4.452158858259006e+18,4.452158858259006e+18,
90,8.8142,0,1.910775814949989e+29,1.308e-09,6.5685e-11,2.5899e-16,20,1.484052952753002e+19,1.484052952753002e+19,
91,8.8706,0,6.369252716499964e+29,1.308e-09,6.5685e-11,2.5899e-16,20,4.946843175843341e+19,4.946843175843341e+19,
92,8.9304,0,2.123084238833321e+30,1.308e-09,6.5685e-11,2.5899e-16,20,1.648947725281114e+20,1.648947725281114e+20,
93,8.9872,0,7.076947462777738e+30,1.308e-09,6.5685e-11,2.5899e-16,20,5.496492417603712e+20,5.496492417603712e+20,
94,9.0418,0,2.35898248759258e+31,1.308e-09,6.5685e-11,2.5899e-16,20,1.832164139201238e+21,1.832164139201238e+21,
95,9.0949,0,7.863274958641932e+31,1.308e-09,6.5685e-11,2.5899e-16,20,6.107213797337459e+21,6.107213797337459e+21,
96,9.1485,0,2.621091652880644e+32,1.308e-09,6.5685e-11,2.5899e-16,20,2.03573793244582e+22,2.03573793244582e+22,
97,9.2067,0,8.736972176268813e+32,1.308e-09,6.5685e-11,2.5899e-16,20,6.785793108152731e+22,6.785793108152731e+22,
98,9.2612,0,2.912324058756271e+33,1.308e-09,6.5685e-11,2.5899e-16,20,2.26193103605091e+23,2.26193103605091e+23,
99,9.3177,0,9.707746862520905e+33,1.308e-09,6.5685e-11,2.5899e-16,20,7.539770120169702e+23,7.539770120169702e+23,
100,9.3719,0,3.235915620840302e+34,1.308e-09,6.5685e-11,2.5899e-16,20,2.513256706723235e+24,2.513256706723235e+24,
101,9.4284,0,1.078638540280101e+35,1.308e-09,6.5685e-11,2.5899e-16,20,8.377522355744115e+24,8.377522355744115e+24,
102,9.4813,0,3.595461800933669e+35,1.308e-09,6.5685e-11,2.5899e-16,20,2.792507451914705e+25,2.792507451914705e+25,
103,9.5377,0,1.19848726697789e+36,1.308e-09,6.5685e-11,2.5899e-16,20,9.308358173049018e+25,9.308358173049018e+25,
104,9.5901,0,3.994957556592966e+36,1.308e-09,6.5685e-11,2.5899e-16,20,3.102786057683005e+26,3.102786057683005e+26,
105,9.6439,0,1.331652518864322e+37,1.308e-09,6.5685e-11,2.5899e-16,20,1.034262019227669e+27,1.034262019227669e+27,
106,9.6955,0,4.43884172954774e+37,1.308e-09,6.5685e-11,2.5899e-16,20,3.447540064092229e+27,3.447540064092229e+27,
