method,nrep,time,iter
Riemannian_SQP,3,1.7243,23
Riemannian_SQP,4,0.81457,11
Riemannian_SQP,5,0.46658999999999995,6
Riemannian_SQP,6,0.53277,7
Riemannian_SQP,7,9.1599,101
Riemannian_SQP,8,1.2165,15
Riemannian_SQP,9,8.9935,112
ALM,10,4.0204,31
Riemannian_SQP,10,0.69657,9
ALM,11,5.7172,35
Riemannian_SQP,11,0.9513799999999999,13
ALM,12,3.2211,44
Riemannian_SQP,12,0.60234,8
ALM,13,2.6792,34
Riemannian_SQP,13,0.6039899999999999,8
ALM,14,4.55,46
Riemannian_SQP,14,0.62469,8
ALM,15,6.5809,40
Riemannian_SQP,15,0.93911,12
Riemannian_SQP,16,20.8143,266
