method,nrep,time,iter
Riemannian_SQP,1,5.9383,79
Riemannian_SQP,2,4.1530000000000005,56
Riemannian_SQP,3,4.4339,59
Riemannian_SQP,4,2.847,37
Riemannian_SQP,5,8.806000000000001,114
Riemannian_SQP,6,4.4931,60
Riemannian_SQP,7,3.0081,40
Riemannian_SQP,8,8.6602,111
Riemannian_SQP,9,6.4918,79
Riemannian_SQP,10,7.5547,89
Riemannian_SQP,11,5.084,65
Riemannian_SQP,12,5.9492,77
Riemannian_SQP,13,3.8306,50
Riemannian_SQP,14,2.7277,33
Riemannian_SQP,15,8.8001,106
Riemannian_SQP,16,3.4629,45
Riemannian_SQP,17,4.6971,59
Riemannian_SQP,18,18.6198,217
Riemannian_SQP,19,2.7015,32
LQH,20,56.6927,3641
Riemannian_SQP,20,2.495,31
