,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.6864000000000002e-05,-3
1,0.0,0.0,0.0,2.6864000000000002e-05,-2
2,0.0,0.0,0.0,2.6864000000000002e-05,-1
3,1.2811,0.054332000000000005,0.80569,0.096198,0
4,1.5026,0.054332000000000005,0.80569,0.22191999999999998,1
5,1.5185,0.054332000000000005,1.9392,0.30318,2
6,1.5651,0.054332000000000005,9.6402,0.3437,3
7,1.5722,0.10962999999999999,9.6402,2.1319,4
8,1.6668,0.70652,11.4818,2.2165,5
9,,0.81945,16.1796,2.2165,6
10,,,,2.2583,7
11,,,,2.2583,8
12,,,,2.2583,9
