method,nrep,time,iter
Riemannian_SQP,1,1.6185,22
Riemannian_SQP,2,1.9256,25
ALM,3,0.76967,23
Riemannian_SQP,4,0.7424,10
Riemannian_SQP,5,0.91527,12
Riemannian_SQP,7,0.91528,12
Riemannian_SQP,8,3.9442,48
ALM,9,6.5575,27
Riemannian_SQP,9,1.7819999999999998,24
Riemannian_SQP,10,0.63141,8
Riemannian_SQP,11,3.2948,39
Riemannian_SQP,12,0.599,8
Riemannian_SQP,14,1.4364,19
Riemannian_SQP,15,0.61051,8
Riemannian_SQP,16,5.6771,66
ALM,17,3.6444,27
Riemannian_SQP,17,1.4505,19
Riemannian_SQP,19,0.6899,9
Riemannian_SQP,20,1.2081,14
