method,nrep,time,iter
Riemannian_SQP,5,1.1975,27
Riemannian_SQP,6,0.24565,6
Riemannian_SQP,7,0.33807,8
Riemannian_SQP,8,6.1929,143
Riemannian_SQP,9,37.7851,725
Riemannian_SQP,11,30.7412,727
Riemannian_SQP,12,0.2685,7
LSE,13,11.1908,49
Riemannian_SQP,13,0.35745,8
Riemannian_SQP,14,5.8026,105
ALM,15,15.5862,30
Riemannian_SQP,15,0.9749399999999999,25
Riemannian_SQP,16,0.5343,13
Riemannian_SQP,17,1.1517,24
ALM,18,2.0455,33
Riemannian_SQP,18,0.39055,10
Riemannian_SQP,19,0.3023,6
Riemannian_SQP,20,0.43845,10
