method,nrep,time,iter
Riemannian_SQP,1,1.5299,28
Riemannian_SQP,2,1.4899,33
Riemannian_SQP,3,0.38589,9
Riemannian_SQP,4,2.2317,47
Riemannian_SQP,6,0.5173800000000001,11
Riemannian_SQP,7,1.2597,27
Riemannian_SQP,8,1.0168,24
Riemannian_SQP,9,0.9895,21
ALM,10,5.3092,23
Riemannian_SQP,10,0.61646,14
ALM,11,0.7530100000000001,25
Riemannian_SQP,11,0.69516,15
Riemannian_SQP,12,0.47408,12
Riemannian_SQP,14,2.2583,46
Riemannian_SQP,15,0.31628,8
Riemannian_SQP,16,0.34107,8
Riemannian_SQP,18,0.57905,14
Riemannian_SQP,19,0.35583000000000004,8
Riemannian_SQP,20,2.3058,47
