,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.6198000000000002e-05,-3
1,0.0,0.0,0.0,2.6198000000000002e-05,-2
2,0.0,0.0,0.0,2.6198000000000002e-05,-1
3,1.1371,0.0,0.0,0.03996,0
4,1.1809,0.099159,0.8834200000000001,0.12057999999999999,1
5,1.9389,0.099159,1.4451,0.46738999999999997,2
6,1.9484,0.10722000000000001,2.1362,0.51117,3
7,1.9484,0.42668,3.6494,0.5989800000000001,4
8,2.0621,0.86331,4.8175,0.6420399999999999,5
9,2.2643,,,0.9016700000000001,6
10,2.3124,,,3.6294,7
11,,,,7.4079999999999995,8
