method,nrep,time,iter
Riemannian_SQP,1,2.6199,63
LSE,2,8.445,305
Riemannian_SQP,2,1.2209999999999999,29
LSE,3,14.5288,838
Riemannian_SQP,3,6.8271,162
Riemannian_SQP,4,1.4694,33
Riemannian_SQP,5,3.2574,75
LSE,6,1.6686,49
Riemannian_SQP,6,0.61678,14
Riemannian_SQP,7,2.0046,42
LSE,8,25.625999999999998,1441
Riemannian_SQP,8,0.54818,12
Riemannian_SQP,9,2.4512,60
LQH,10,30.8278,2508
Riemannian_SQP,10,0.77331,17
Riemannian_SQP,11,1.9696,45
Riemannian_SQP,12,3.3413,76
LSE,13,2.2008,21
Riemannian_SQP,13,5.5293,123
LQH,14,1.5889,124
LSE,14,38.9076,2197
Riemannian_SQP,14,0.77476,17
Riemannian_SQP,15,3.3728,83
Riemannian_SQP,16,1.1761,28
LQH,17,17.5545,1424
Riemannian_SQP,17,0.87305,19
Riemannian_SQP,18,2.5323,55
Riemannian_SQP,19,1.7066,40
LQH,20,57.0353,4305
Riemannian_SQP,20,6.5519,145
