method,nrep,time,iter
Riemannian_SQP,1,2.4815,33
Riemannian_SQP,2,0.85216,12
Riemannian_SQP,3,0.75466,10
Riemannian_SQP,4,1.0353,14
Riemannian_SQP,5,2.8504,38
Riemannian_SQP,6,53.2372,623
Riemannian_SQP,7,2.4173,30
Riemannian_SQP,8,1.5672,20
Riemannian_SQP,9,6.093999999999999,79
Riemannian_SQP,11,14.0028,187
Riemannian_SQP,12,1.3571,18
Riemannian_SQP,13,6.6756,87
Riemannian_SQP,14,9.1025,103
Riemannian_SQP,15,1.043,14
Riemannian_SQP,16,2.8337,36
Riemannian_SQP,17,4.3005,54
Riemannian_SQP,18,0.88575,11
Riemannian_SQP,19,5.0674,66
Riemannian_SQP,20,1.5526,20
