method,nrep,time,iter
LQH,1,21.7908,1755
Riemannian_SQP,1,3.6476,85
Riemannian_SQP,2,5.3522,114
Riemannian_SQP,3,5.6886,129
Riemannian_SQP,4,3.0591,72
Riemannian_SQP,5,1.7901,37
Riemannian_SQP,6,2.2104,50
Riemannian_SQP,7,2.3994,51
Riemannian_SQP,8,3.3345,75
Riemannian_SQP,9,3.1223,71
Riemannian_SQP,10,1.7916,40
Riemannian_SQP,11,4.3011,87
Riemannian_SQP,12,2.4877,58
Riemannian_SQP,13,45.9464,1012
Riemannian_SQP,14,2.4512,51
Riemannian_SQP,15,8.0962,196
Riemannian_SQP,16,1.4478,33
Riemannian_SQP,17,3.6358,87
Riemannian_SQP,18,0.80705,17
Riemannian_SQP,19,3.0284,70
Riemannian_SQP,20,0.828,17
