,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.7769e-05,-3
1,0.0,0.0,0.0,2.7769e-05,-2
2,0.0,0.0,0.0,2.7769e-05,-1
3,0.8547299999999999,0.0,0.0,0.043937000000000004,0
4,0.91774,0.10292000000000001,0.8673700000000001,0.13169,1
5,1.4267,0.10292000000000001,1.1351,0.17295,2
6,1.5441,0.10292000000000001,1.7022,0.25453000000000003,3
7,,0.11907000000000001,9.2209,0.25453000000000003,4
8,,0.37735,9.2209,0.29614,5
9,,5.7484,9.2847,0.29614,6
10,,,9.3294,0.29614,7
11,,,,0.33686,8
12,,,,0.33686,9
