method,nrep,time,iter
Riemannian_SQP,1,1.8359999999999999,23
Riemannian_SQP,2,8.4245,110
Riemannian_SQP,3,11.3063,150
Riemannian_SQP,4,3.2117,41
Riemannian_SQP,5,2.805,36
Riemannian_SQP,6,4.9976,65
Riemannian_SQP,7,6.7536,84
Riemannian_SQP,8,12.0825,152
Riemannian_SQP,9,5.9668,78
Riemannian_SQP,10,2.2854,28
Riemannian_SQP,11,3.2145,41
Riemannian_SQP,12,19.9018,263
Riemannian_SQP,13,2.1,25
Riemannian_SQP,14,3.9497,47
Riemannian_SQP,15,4.1776,46
Riemannian_SQP,16,4.1745,52
Riemannian_SQP,17,2.6901,35
Riemannian_SQP,18,16.2402,202
Riemannian_SQP,19,0.8237700000000001,10
Riemannian_SQP,20,3.8017,47
