method,nrep,time,iter
Riemannian_SQP,2,0.33446,8
Riemannian_SQP,3,0.80155,20
Riemannian_SQP,4,1.9056,45
Riemannian_SQP,5,2.2124,49
ALM,6,2.3124,24
Riemannian_SQP,6,7.4079999999999995,174
Riemannian_SQP,7,3.8383,81
LSE,8,9.3294,22
Riemannian_SQP,8,0.33686,8
Riemannian_SQP,9,3.5445,82
Riemannian_SQP,10,1.6089,38
Riemannian_SQP,11,2.0719,46
Riemannian_SQP,12,5.305,127
Riemannian_SQP,13,1.0435,24
Riemannian_SQP,14,0.8211,19
Riemannian_SQP,15,3.6171,82
Riemannian_SQP,16,1.465,36
Riemannian_SQP,17,0.63051,16
Riemannian_SQP,18,26.1039,448
Riemannian_SQP,19,0.9046,22
Riemannian_SQP,20,2.1322,51
