"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,126.3112,4.6065e-05,NaN,NaN,NaN,NaN,NaN,58.6457,58.6457,
1,126.3112,0.24879,12.2914,0.03125,0,3.0544,1,46.3166,46.3166,
2,108.8004,0.50083,7.1162,6.1035e-05,0,2.9696,1,22.0151,22.0151,
3,105.4102,0.7675,7.3142,0.0625,0,2.3808,1,20.2488,20.2488,
4,105.0107,0.83981,0.42412,1,0,0.42345,1,5.6136,5.6136,
5,101.0993,0.97345,2.5924,0.00048828,0,1.449,1,3.0998,3.0998,
6,101.0659,1.305,3.0161,0.0019531,0,1.6198,1,2.4272,2.4272,
7,101.0879,1.3765,0.089283,0.125,0,0.089278,1,2.3997,2.3997,
8,96.445,1.5434,11.0279,0.00097656,0,2.0642,1,0.89644,0.89644,
9,100.0158,1.8363,4.1337,0.0078125,0,1.9853,1,0.62072,0.62072,
10,99.9202,1.9075,0.078466,1,0,0.078462,1,0.21691,0.21691,
11,99.7141,2.1361,1.4398,0.00097656,0,1.0867,1,0.19288,0.19288,
12,99.0732,2.43,0.81386,0.00024414,0,0.72322,1,0.050522,0.050522,
13,99.0376,2.4918,0.01939,1,0,0.01939,1,0.012828,0.012828,
14,98.9547,2.6988,0.61504,0.00048828,0,0.56739,1,0.0063044,0.0063044,
15,98.97,2.7628,0.0089337,1,0,0.0089337,1,0.002751,0.002751,
16,98.1622,3.0716,0.28788,3.8147e-06,0,0.28324,1,0.00018662,0.00018662,
17,97.8921,3.3028,0.15614,7.6294e-06,0,0.15549,1,2.7107e-06,2.7107e-06,
18,97.8918,3.3679,0.00015896,0.5,0,0.00015896,1,2.2242e-06,2.2242e-06,
19,97.7355,3.8966,0.04704,9.3132e-10,0,0.04702,1,1.518e-07,1.518e-07,
20,97.7356,3.966,1.9741e-05,0.125,0,1.9741e-05,-6,1.4584e-07,1.4584e-07,
