"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,71.4011,8.9864e-05,NaN,NaN,NaN,NaN,NaN,8.3712,8.3712,
1,71.4011,0.063053,1.3707,0.00048828,0,1.0237,1,7.1987,7.1987,
2,68.2235,0.1512,14.3049,0.03125,0,2.9651,1,4.3032,4.3032,
3,63.8992,0.23787,3.8599,0.0625,0,1.8185,1,0.65374,0.65374,
4,46.8904,0.29811,3.7555,0.5,0,2.6854,1,1.3513,1.3513,
5,44.4216,0.48621,1.9346,0.00024414,0,1.6757,1,0.022551,0.022551,
6,44.1603,0.57425,0.66536,3.0518e-05,0,0.62628,1,0.0072391,0.0072391,
7,44.1233,0.72184,0.56442,0.00048828,0,0.53543,1,0.0041499,0.0041499,
8,43.8474,0.97349,0.30618,0.00048828,0,0.30138,1,0.0004434,0.0004434,
9,43.8501,1.0144,0.00080108,0.03125,0,0.00080108,1,0.00044198,0.00044198,
10,43.7794,1.3359,0.1712,3.0518e-05,0,0.17017,1,4.3017e-05,4.3017e-05,
11,43.7795,1.378,2.2613e-05,0.00024414,0,2.2613e-05,1,4.3016e-05,4.3016e-05,
