"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,557.2532,0.00010383,NaN,NaN,NaN,NaN,NaN,36.9074,36.9074,
1,557.2532,0.22647,22.87,0.0019531,0,5.9483,1,11.9092,11.9092,
2,486.6908,0.29691,0.42505,1,0,0.42444,1,6.1603,6.1603,
3,484.9768,0.49552,154.3075,0.0019531,0,5.0335,1,2.1865,2.1865,
4,483.6552,0.56298,0.12093,0.25,0,0.12092,1,2.1189,2.1189,
5,478.89,0.80189,1.594,0.0039063,0,1.107,1,1.161,1.161,
6,479.5885,0.87105,0.10794,1,0,0.10793,1,0.36038,0.36038,
7,473.553,1.0472,1.2328,1.9073e-06,0,1.0287,1,0.094959,0.094959,
8,472.534,1.2634,0.59282,0.0019531,0,0.55055,1,0.031087,0.031087,
9,472.4355,1.3317,0.014323,0.25,0,0.014323,1,0.029783,0.029783,
10,471.4427,1.8513,0.432,3.0518e-05,0,0.41631,1,0.0088342,0.0088342,
11,471.5038,1.9189,0.0086134,0.5,0,0.0086134,1,0.0067417,0.0067417,
12,471.8239,2.2252,0.48979,0.00024414,0,0.4715,1,0.00081526,0.00081526,
13,471.8182,2.296,0.00079784,0.03125,0,0.00079784,1,0.0008096,0.0008096,
14,470.0577,2.583,0.18252,4.7684e-07,0,0.18137,1,0.00014225,0.00014225,
15,469.0393,3.1851,0.11793,3.8147e-06,0,0.1176,1,2.6317e-05,2.6317e-05,
16,469.0409,5.1808,0.0002857,0.125,0,0.0002857,1,2.5565e-05,2.5565e-05,
17,468.2179,6.4426,0.080651,9.3132e-10,0,0.080564,1,3.289e-06,3.289e-06,
18,467.5764,7.1025,0.074275,2.9802e-08,0,0.074213,1,8.7617e-07,8.7617e-07,
19,467.5768,9.1661,8.3695e-05,0.25,0,8.3695e-05,-6,8.7459e-07,8.7459e-07,
