"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,54.9625,9.7794e-05,NaN,NaN,NaN,NaN,NaN,42.4146,42.4146,
1,54.9625,0.063761,18.4079,0.5,0,3.2696,1,13.862,13.862,
2,36.739,0.19719,5.4985,0.25,0,2.7317,1,15.4814,15.4814,
3,35.3234,0.24439,0.84328,1,0,0.83305,1,8.6667,8.6667,
4,35.7551,0.3127,4.2005,0.125,0,2.6108,1,3.8827,3.8827,
5,35.2951,0.34944,0.26492,0.5,0,0.26463,1,3.1412,3.1412,
6,31.4729,0.40874,2.3806,0.25,0,1.52,1,3.7008,3.7008,
7,31.5437,0.44334,0.40815,1,0,0.40692,1,2.9676,2.9676,
8,32.1613,0.52519,2.6744,0.0039063,0,1.7764,1,0.74953,0.74953,
9,31.5873,0.5997,1.7193,0.0078125,0,1.2507,1,0.31013,0.31013,
10,31.6045,0.652,0.087601,1,0,0.08759,1,0.13325,0.13325,
11,31.9175,0.75777,1.3904,0.0039063,0,1.1451,1,0.13006,0.13006,
12,31.7232,0.85467,0.79936,0.00048828,0,0.72931,1,0.040729,0.040729,
13,31.7234,0.89217,0.0017047,0.0019531,0,0.0017047,1,0.040699,0.040699,
14,31.0761,1.0755,0.50713,1.9073e-06,0,0.48578,1,0.0077999,0.0077999,
15,30.8003,1.2531,0.61521,0.00024414,0,0.58032,1,0.0059523,0.0059523,
16,30.7969,1.2912,0.0093428,0.25,0,0.0093428,1,0.0059083,0.0059083,
17,31.1408,1.448,0.46343,6.1035e-05,0,0.44774,1,0.00073962,0.00073962,
18,31.1373,1.4836,0.0042435,1,0,0.0042435,1,0.00029522,0.00029522,
19,31.1923,2.081,0.21184,0.00097656,0,0.21027,1,2.3688e-05,2.3688e-05,
20,31.1926,2.1188,0.00028448,0.0625,0,0.00028448,1,2.3531e-05,2.3531e-05,
21,31.179,2.2905,0.097663,1.1921e-07,0,0.097502,1,1.5012e-08,1.5012e-08,
22,31.179,2.3276,2.6977e-05,1,0,2.6977e-05,1,1.1895e-08,1.1895e-08,
