,RALM,REPM(LQH),REPM(LSE),fmincon SQO,RSQO
0,0.0,0.0,0.0,0.11365,0.00012649
1,0.45679,0.36829,0.31094,0.1225,0.33137
2,0.9941399999999999,0.40591,0.3656,0.12800999999999998,0.47431
3,1.0469,0.45769,0.44226000000000004,0.13297,0.58149
4,1.0764,0.55075,0.5664899999999999,0.13784000000000002,0.69083
5,1.1056,0.6742,0.7327600000000001,0.14311,0.85596
6,1.1318,0.8952600000000001,0.92804,0.14795,0.90909
7,1.1524,1.1327,1.127,0.15238,1.0155
8,1.1688,1.4582,1.4539,0.15674000000000002,1.0789
9,1.1787,1.6625,1.8085,0.16112,1.1218
10,1.1882,2.0053,2.1984,0.16502,1.1692
11,1.1975,2.3245,2.5667,0.16855,1.2195
12,1.2072,2.3418,2.5805,0.17203,1.2702
13,1.2166,2.8081,2.7894,0.17548,1.3061
14,1.2267,2.8228,2.8032,0.17895999999999998,1.3423
15,1.2368,2.8362,2.8175,0.18239,1.3769999999999998
16,1.2547,2.8511,2.8314,0.18587,1.4121
17,1.2668,2.8651,2.8455,0.18933,1.4466
18,1.2927,2.8796,2.8592,0.1927,1.4832
19,1.3159,2.8937,2.8728,0.19715,1.5237
20,1.3296,2.9088,2.8869,0.20188,1.5858
