"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,140.1635,529.0203,6.3811e-05,NaN,NaN,NaN,NaN,1,500.9506,1.4664,0.24105,
1,248.9113,1713393695865.156,1.1625,1,0,1.6015,0,192903545474.0948,637.4544,1.5783,0.19406,
2,266.5963,2783313434.948,1.9148,1,0,0.063317,-6,192903545474.0948,651.1004,1.5799,0.19062,
3,511.1687,45587655489.9441,3.0341,1,0,1.5064,0,192903545474.0948,633.8342,1.1287,0.16785,
4,565.7646,1073505557.5968,3.7474,1,0,0.1847,-6,192903545474.0948,573.3042,0.94276,0.1509,
5,671.3737,431121860.8499,4.4709,1,0,0.29822,-6,192903545474.0948,347.2963,0.74413,0.1139,
6,649.555,5272657784.6765,5.5334,0.25,0,1.4815,0,192903545474.0948,402.8047,0.92068,0.10903,
7,689.3271,195314741.4968,6.2869,1,0,0.20196,-6,192903545474.0948,258.0471,0.64935,0.083857,
8,691.4285,4824088.3345,7.0054,1,0,0.12852,-6,192903545474.0948,242.5251,0.65031,0.077121,
9,691.6181,394200.7176,7.7543,1,0,0.04464,-6,192903545474.0948,241.1366,0.64896,0.074802,
10,692.2511,4555743772564963,8.6047,1,0,0.37598,-2,6021399526367993,242.3737,0.62541,0.074434,
11,691.5218,579080557.5152,9.6982,0.25,0,0.20246,1,6021399526367993,240.6392,0.58549,0.073729,
12,691.1617,9.351320207812524e+17,10.6326,1,0,0.092422,-2,1.091023927944336e+18,243.0005,0.57179,0.072179,
13,690.6894,406446056.759,11.6194,0.5,0,0.10138,1,1.091023927944336e+18,243.0985,0.57039,0.072021,
14,691.0638,4.83025774734177e+16,12.4809,1,0,0.085273,-2,1.091023927944336e+18,244.4201,0.54804,0.07135,
15,691.0203,1294996.6045,13.2842,1,0,0.0018647,-6,1.091023927944336e+18,244.6368,0.54826,0.071164,
16,690.9485,82461157044787.92,14.2622,0.125,0,0.11407,-2,1.091023927944336e+18,243.811,0.51649,0.070855,
17,690.9478,8292281.9044,15.3404,1,0,2.1417e-05,-6,1.091023927944336e+18,243.8141,0.51649,0.070852,
18,690.8872,477307273589972.3,16.306,0.125,0,0.12575,-2,1.091023927944336e+18,245.1696,0.47659,0.069819,
19,690.8871,4351741.8832,17.2627,1,0,6.1145e-06,-6,1.091023927944336e+18,245.1701,0.47659,0.069819,
