"iter","cost",
0,2270.6329,
1,1978.6472,
2,1649.8851,
3,1437.8802,
4,1325.5954,
5,1199.6561,
6,1140.0653,
7,971.1032,
8,869.5869,
9,562.6441,
10,548.3521,
11,446.8767,
12,419.0039,
13,401.0453,
14,388.3595,
15,382.2823,
16,380.5156,
17,372.1915,
18,371.3098,
19,368.6841,
20,368.5618,
21,367.8747,
22,367.862,
23,367.3456,
24,362.9244,
25,355.2347,
26,353.8885,
27,353.3869,
28,349.2693,
29,338.0277,
30,337.725,
31,334.0511,
32,328.6268,
33,328.5927,
34,328.0923,
35,327.8289,
36,327.6477,
37,326.0901,
38,319.5733,
39,319.4736,
40,319.47,
41,318.1126,
42,318.1048,
43,317.8462,
44,315.6067,
45,315.6031,
46,315.0775,
47,309.7214,
48,300.0174,
49,298.5912,
50,275.7584,
51,275.695,
52,269.9759,
53,269.9474,
54,269.0398,
55,262.2661,
56,262.2328,
57,261.5263,
58,260.6181,
59,254.7534,
60,254.7164,
61,252.2191,
62,244.791,
63,244.7362,
64,244.6801,
65,240.3168,
66,238.1493,
67,238.1435,
68,236.8611,
69,234.6339,
70,234.6268,
71,234.6223,
72,234.5481,
73,233.4295,
74,233.3552,
75,233.3284,
76,231.8529,
77,231.8476,
78,231.6226,
79,227.0238,
80,212.7605,
81,212.6965,
82,212.6906,
83,211.3848,
84,211.3315,
85,209.4178,
86,209.3867,
87,209.0708,
88,207.9647,
89,207.962,
90,207.9586,
91,207.8404,
92,207.3351,
93,206.0943,
94,206.0917,
95,206.0831,
96,201.0505,
97,201.0318,
98,201.0301,
98,201.0301,
