"iter","cost",
0,37250.4511,
1,33869.6068,
2,30949.1908,
3,26836.7967,
4,22384.7058,
5,18979.6709,
6,16943.2087,
7,14783.982,
8,11564.0382,
9,7064.4357,
10,4865.5598,
11,3902.397,
12,2948.2917,
13,2166.0039,
14,2045.0898,
15,1708.5366,
16,1539.3518,
17,1357.6595,
18,1242.0136,
19,1149.2993,
20,1101.516,
21,1053.0765,
22,1027.016,
23,1014.9981,
24,992.468,
25,971.2308,
26,943.4835,
27,936.5464,
28,917.5523,
29,903.8481,
30,891.6006,
31,888.3508,
32,882.1375,
33,881.5197,
34,876.6807,
35,860.7976,
36,856.5207,
37,856.332,
38,854.8986,
39,850.9884,
40,847.3095,
41,841.7435,
42,831.8782,
43,831.7235,
44,829.6078,
45,827.2675,
46,825.3508,
47,824.6508,
48,822.3099,
49,822.1779,
50,820.8211,
51,815.1496,
52,812.6136,
53,812.3404,
54,811.8097,
55,811.156,
56,810.1363,
57,810.0213,
58,809.4916,
59,809.4459,
60,808.8136,
61,808.1542,
62,807.7133,
63,807.1491,
64,804.9466,
65,804.8665,
66,802.5226,
67,802.4741,
68,801.1864,
69,798.1844,
70,798.1476,
71,796.0745,
72,796.0634,
73,794.4155,
74,794.3773,
75,792.8417,
76,792.7763,
77,792.4582,
78,791.9881,
79,791.9778,
80,790.5309,
81,790.5209,
82,787.534,
83,784.9537,
84,784.9369,
85,784.9206,
86,780.6887,
87,778.7828,
88,778.6652,
89,774.9415,
90,773.4814,
91,770.6277,
92,766.1112,
93,766.085,
94,765.9745,
95,764.1126,
96,764.1024,
97,763.4397,
98,763.4095,
99,763.1918,
100,762.4593,
101,762.0744,
102,762.0589,
103,753.0151,
104,752.9574,
105,752.9531,
105,752.9531,
