"iter","cost",
0,11032.2242,
1,9531.7735,
2,7725.319,
3,6581.1665,
4,4964.3014,
5,4357.5714,
6,3666.4744,
7,3009.9344,
8,2179.5382,
9,1735.0074,
10,1511.5941,
11,1260.8516,
12,1188.0317,
13,1083.1771,
14,1006.0575,
15,940.5595,
16,920.4757,
17,869.8168,
18,852.6027,
19,804.1482,
20,772.3795,
21,752.1302,
22,728.8877,
23,719.8311,
24,693.0748,
25,692.0821,
26,648.7126,
27,648.0659,
28,643.0347,
29,640.904,
30,633.9031,
31,606.4291,
32,603.2409,
33,568.2658,
34,545.6766,
35,543.0231,
36,521.2856,
37,520.8174,
38,517.015,
39,504.5732,
40,503.4376,
41,499.9046,
42,496.783,
43,496.5268,
44,489.7478,
45,488.8657,
46,483.4549,
47,483.2298,
48,478.8806,
49,478.5286,
50,469.2148,
51,469.1048,
52,465.1833,
53,437.3747,
54,436.1358,
55,436.1016,
56,434.2294,
57,434.195,
58,430.7885,
59,426.5733,
60,426.549,
61,425.9203,
62,425.7881,
63,425.7219,
64,425.4692,
65,425.4147,
66,422.6494,
67,421.7381,
68,421.7263,
69,419.9123,
70,419.8318,
71,402.04,
72,401.9902,
73,401.6819,
74,399.8558,
75,395.0323,
76,388.3534,
77,388.3156,
78,388.2886,
79,388.2679,
80,388.1737,
81,388.1619,
82,388.157,
83,388.15,
84,388.0541,
85,387.9687,
86,387.949,
87,387.6051,
88,387.3386,
89,384.989,
90,384.7795,
91,381.5748,
92,381.5613,
93,381.4244,
94,381.4211,
95,381.4165,
96,381.4025,
97,381.2794,
98,381.2232,
99,381.2153,
100,380.9578,
101,380.9527,
102,380.5882,
103,380.5857,
104,377.3885,
105,377.3734,
106,377.3477,
107,377.0565,
108,377.055,
108,377.055,
