"iter","cost",
0,636.9534,
1,457.2901,
2,368.8779,
3,345.4435,
4,335.3362,
5,330.3331,
6,296.0227,
7,295.9196,
8,295.8181,
9,295.6154,
10,293.9162,
11,290.0634,
12,290.0541,
13,289.5352,
14,284.4849,
15,284.4699,
16,284.3621,
17,284.313,
18,284.3045,
19,284.1991,
20,279.8632,
21,276.9883,
22,276.9728,
23,276.9622,
24,263.7382,
25,263.6545,
26,263.115,
27,241.0769,
28,240.998,
29,240.5508,
30,184.2826,
31,184.0934,
32,183.8405,
33,119.616,
34,114.7535,
35,114.7411,
36,114.7401,
37,106.0126,
38,105.9058,
39,104.4734,
40,103.9933,
41,103.9473,
42,103.9227,
43,103.905,
44,103.8908,
45,103.8209,
46,103.7634,
47,103.7117,
48,103.6011,
49,103.537,
50,103.4756,
51,103.4115,
52,103.3732,
53,103.3318,
54,103.1624,
55,102.9715,
56,102.9366,
57,102.9351,
57,102.9351,
