"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,81.5468,0.00018955,NaN,NaN,NaN,NaN,NaN,0.29622,0.29622,
1,71.7998,0.30292,3.035,0.0625,0,2.1052,1,0.17444,0.17444,
2,68.5491,0.42771,1.1277,0.015625,0,0.90635,1,0.021805,0.021805,
3,67.2631,0.51245,0.74828,0.00048828,0,0.689,1,0.010418,0.010418,
4,65.8956,0.62818,0.62927,6.1035e-05,0,0.59181,1,0.0058513,0.0058513,
5,66.0173,0.79681,0.47869,0.00048828,0,0.4613,1,0.00072984,0.00072984,
6,66.0104,0.84252,0.0035429,1,0,0.0035429,-6,0.00018115,0.00018115,
7,65.9623,0.94757,0.17923,0.00012207,0,0.1782,1,1.5803e-05,1.5803e-05,
8,65.9229,1.1211,0.099446,7.6294e-06,0,0.09928,1,8.9954e-07,8.9954e-07,
9,65.9224,1.2421,0.00021995,1,0,0.00021995,-6,7.1612e-07,7.1612e-07,
