"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","qp_pow","rho","violation_sum","maxviolation","meanviolation",
0,188.3977,476.6147,5.777e-05,NaN,NaN,NaN,NaN,NaN,1,450.1738,1.4336,0.2119,
1,298.5226,3618074186271.946,0.72875,1,0,1.513,0,1,507251184635.65,474.5001,1.1381,0.16143,
2,430.0259,10631436488.7174,1.2558,1,0,0.44719,1,1,507251184635.65,347.1606,0.47907,0.10471,
3,475.2019,9747355193.0097,1.7363,1,0,0.68971,1,1,507251184635.65,231.5182,0.31796,0.065926,
4,470.5632,1819929422.614,2.2006,1,0,0.30284,1,1,507251184635.65,235.4165,0.31119,0.053532,
5,464.4734,1178525988858166,2.6562,1,0,0.61704,-2,1,720744607992332.5,230.7896,0.24658,0.048962,
6,464.302,3249170444.8165,3.1838,0.5,0,0.44563,1,1,720744607992332.5,238.747,0.22215,0.04459,
7,451.5446,1167750578.6141,3.666,1,0,0.76776,1,1,720744607992332.5,276.0406,0.85774,0.036308,
8,460.7205,1314122017.8404,4.1837,1,0,0.50001,1,1,720744607992332.5,234.6932,0.11154,0.0156,
9,461.2587,596301110.3821,4.6524,1,0,0.14077,1,1,720744607992332.5,229.3536,0.078129,0.010295,
10,460.6459,80314184.5861,5.1125,1,0,0.14134,1,1,720744607992332.5,228.8365,0.044027,0.008634,
11,460.9072,7276555072261.728,5.5647,1,0,0.0086158,-2,1,720744607992332.5,227.886,0.044078,0.0082741,
12,460.8956,430305210.9095,6.0299,0.0625,0,0.000133,1,1,720744607992332.5,227.9267,0.044046,0.0082739,
13,459.5711,52570088.8242,6.4981,1,0,0.15666,1,1,720744607992332.5,228.0231,0.053483,0.005964,
14,459.5711,2236716.8129,6.9567,2.8422e-14,0,1.0936e-15,-2,1,720744607992332.5,228.0231,0.053483,0.005964,
