"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","qp_pow","rho","violation_sum","maxviolation","meanviolation",
0,80.1465,194.0254,9.2507e-05,NaN,NaN,NaN,NaN,NaN,1,181.6859,1.3466,0.31595,
1,148.621,56752968441.0771,0.3155,1,0,0.82437,0,1,13697432018.992,192.7989,1.1081,0.23831,
2,198.2283,13188878511.4373,0.40354,1,0,0.46473,1,1,13697432018.992,122.9183,0.63683,0.17619,
3,208.3692,3523467868.8465,0.47964,1,0,0.39027,1,1,13697432018.992,75.8382,0.62416,0.13117,
4,208.3034,1192801122.2948,0.54613,1,0,0.39934,1,1,13697432018.992,76.4389,0.55617,0.11903,
5,208.5914,1156043491.6535,0.68323,1,0,0.58012,0,1,13697432018.992,69.0902,0.50405,0.097864,
6,208.5137,809477807.0072,0.73627,1,0,0.34223,1,1,13697432018.992,71.9798,0.46136,0.070525,
7,209.8746,744927525.8632,0.78674,1,0,0.65998,1,1,13697432018.992,82.144,0.30662,0.063985,
8,214.9647,299862997.6927,0.84394,1,0,0.63096,1,1,13697432018.992,82.3619,0.35685,0.03587,
9,219.4898,266942602.7948,0.89475,1,0,0.32277,1,1,13697432018.992,67.1232,0.079762,0.013928,
10,217.8738,380519469.8243,0.94284,1,0,0.2665,1,1,13697432018.992,69.9254,0.059959,0.011996,
11,218.5835,25780628.9823,0.98982,1,0,0.11438,1,1,13697432018.992,70.6287,0.05894,0.0079541,
12,219.2018,9991386.3157,1.0401,1,0,0.18335,1,1,13697432018.992,69.2504,0.032629,0.0053001,
13,218.7558,15640617.3534,1.0889,1,0,0.33056,1,1,13697432018.992,69.5982,0.044525,0.0037008,
14,218.4005,1745223.8032,1.1377,1,0,0.028639,1,1,13697432018.992,71.1964,0.00062623,5.0773e-05,
15,218.388,40529.0701,1.1877,1,0,0.0031203,1,1,13697432018.992,71.1631,4.5848e-05,4.8186e-06,
16,218.3867,11.9586,1.2348,1,0,0.00027616,1,1,13697432018.992,71.1608,3.5457e-08,2.8407e-09,
17,218.3867,1.4116e-05,1.2829,1,0,2.2764e-08,1,1,13697432018.992,71.1608,2.7267e-14,6.3955e-15,
