"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,71.1401,8.4578e-05,NaN,NaN,NaN,NaN,NaN,19.6848,19.6848,
1,41.5306,0.18272,14.8348,1,0,4.2272,1,5.1252,5.1252,
2,38.9635,0.21949,0.50177,0.125,0,0.49421,1,6.0861,6.0861,
3,31.1112,0.25624,3.4137,1,0,2.3814,1,1.6257,1.6257,
4,30.272,0.38606,0.59531,0.03125,0,0.55147,1,1.9765,1.9765,
5,29.4369,0.42121,0.23074,0.25,0,0.2305,1,2.2104,2.2104,
6,28.5407,0.63036,2.7389,0.0625,0,2.237,1,0.1977,0.1977,
7,28.346,0.66513,0.068093,0.125,0,0.068086,1,0.23335,0.23335,
8,27.4611,0.72344,1.1123,0.00012207,0,1.0178,1,0.0016703,0.0016703,
9,27.4478,0.75551,0.0054494,1,0,0.0054494,1,0.00043411,0.00043411,
10,27.417,0.82947,0.1637,4.7684e-07,0,0.16282,1,0.0001252,0.0001252,
11,27.4139,0.86425,0.0015318,1,0,0.0015318,-6,3.414e-05,3.414e-05,
12,27.3522,0.96929,0.091088,9.5367e-07,0,0.090949,1,3.0753e-06,3.0753e-06,
13,27.3249,1.1306,0.074935,0.00097656,0,0.074856,1,1.2567e-06,1.2567e-06,
14,27.3253,1.1618,0.00021758,1,0,0.00021758,-6,1.182e-07,1.182e-07,
