"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","qp_pow","rho","violation_sum","maxviolation","meanviolation",
0,122.5872,752.3776,5.2106e-05,NaN,NaN,NaN,NaN,NaN,1,717.6386,1.5305,0.23698,
1,324.4464,378977901676.8934,2.771,1,0,1.4599,-2,1,36713402546.6005,1255.6199,1.7961,0.20214,
2,867.7581,107804135307.0027,5.2156,1,0,0.36404,1,1,36713402546.6005,1667.3489,1.7022,0.15992,
3,1494.5246,72727226698.291,7.3938,1,0,0.44648,1,1,36713402546.6005,1111.4559,0.78847,0.10477,
4,1662.3303,9850201555.4536,9.4278,1,0,0.2968,1,1,36713402546.6005,533.0262,0.49506,0.061818,
5,1667.0043,2920939862.4314,11.5954,1,0,0.15629,1,1,36713402546.6005,498.1551,0.491,0.055078,
6,1666.7661,33857656610474.5,13.3923,0.25,0,0.25446,-2,1,27500439300272,503.7069,0.35284,0.05476,
7,1666.9019,2261443785.9273,15.5373,1,0,0.0059033,1,1,27500439300272,502.7673,0.35216,0.054363,
8,1661.9874,222029626132570.4,17.3376,1,0,0.58519,-2,1,66895302558718.96,536.0056,0.26359,0.052047,
9,1662.7001,8324165006.309,19.8066,1,0,0.0098642,1,1,66895302558718.96,531.8512,0.26393,0.051412,
10,1670.7746,2.428032900187958e+17,21.7965,0.5,0,0.2222,-3,1,3.611249005671162e+16,486.988,0.23067,0.049553,
11,1668.1806,10119845076.7445,24.2258,1,0,0.33523,1,1,3.611249005671162e+16,494.828,0.23063,0.041333,
12,1663.0426,1060173173.6585,26.336,1,0,0.26491,1,1,3.611249005671162e+16,521.7313,0.22112,0.038559,
13,1665.1095,2142876868642176,28.1803,1,0,0.20094,-2,1,3.611249005671162e+16,509.8556,0.18485,0.03685,
14,1663.9254,1149271118.1968,30.2702,1,0,0.21398,1,1,3.611249005671162e+16,517.6558,0.1911,0.03639,
15,1666.9497,2273533418419856,32.1064,0.5,0,0.1217,-2,1,3.611249005671162e+16,499.3729,0.18441,0.035223,
16,1666.6004,706772331.1887,34.0977,0.5,0,0.069119,1,1,3.611249005671162e+16,500.5768,0.19665,0.035133,
17,1665.7757,87039866356043.59,35.9113,1,0,0.23626,-2,1,3.611249005671162e+16,499.8263,0.18765,0.033179,
18,1662.3595,1294002455.1969,38.1337,0.5,0,0.25256,1,1,3.611249005671162e+16,505.3631,0.19016,0.032992,
19,1662.7239,3701845092813531,40.8557,0.0625,0,0.25203,-3,1,3.611249005671162e+16,500.1293,0.18052,0.031016,
20,1663.6411,45080426.6854,42.6252,1,0,0.019547,-6,1,3.611249005671162e+16,494.1315,0.18091,0.02955,
21,1662.9642,252703574712336.2,44.5269,1,0,0.043371,-2,1,3.611249005671162e+16,496.9084,0.17874,0.027298,
22,1662.9641,573681788.6151,46.5226,0.0078125,0,1.5464e-05,1,1,3.611249005671162e+16,496.909,0.17874,0.027298,
23,1662.964,124130249.4896,48.3417,0.0039063,0,0.000152,-2,1,3.611249005671162e+16,496.9171,0.17861,0.027298,
24,1662.964,357084543.3937,50.3081,1.1369e-13,0,3.9834e-16,1,1,3.611249005671162e+16,496.9171,0.17861,0.027298,
