,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,6.8635e-05,-3
1,0.0,0.0,0.0,6.8635e-05,-2
2,0.0,0.0,0.0,6.8635e-05,-1
3,1.7295,0.0,1.3842,0.067753,0
4,2.8427,0.12394000000000001,1.3842,0.28797,1
5,2.91,0.12394000000000001,2.2536,0.36104,2
6,3.0378,0.12394000000000001,2.9981,0.43356999999999996,3
7,3.4182,0.14164000000000002,3.9299,0.50557,4
8,3.8635,0.26524000000000003,3.9299,0.50557,5
9,4.3260000000000005,0.35857,4.4744,0.57767,6
10,4.6805,,,0.57767,7
11,,,,0.57767,8
12,,,,0.57767,9
13,,,,141.9294,10
