,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.083e-05,-3
1,0.0,0.0,0.0,3.083e-05,-2
2,0.0,0.0,0.0,0.36105,-1
3,2.8702,0.091954,2.2662,0.64561,0
4,2.8702,0.091954,2.9692,2.9513,1
5,4.1325,0.091954,10.3332,4.3429,2
6,6.3819,0.091954,15.0146,6.7205,3
7,,0.20803000000000002,15.4147,7.4266,4
8,,0.24328000000000002,15.7573,13.2503,5
9,,0.3368,15.7573,,6
10,,0.36967,15.8476,,7
11,,0.42322,16.122,,8
12,,0.5214300000000001,16.1959,,9
13,,0.57107,16.4551,,10
14,,0.65882,36.945,,11
15,,1.5064,55.6115,,12
16,,7.336,71.9592,,13
