,RALM,REPM(LQH),REPM(LSE),RSQO
159,39.4881,75.9629,115.0802,
160,39.5634,75.9984,115.1394,
161,39.6276,76.0369,115.1899,
162,39.702,76.0723,115.2367,
163,39.7657,76.1065,115.289,
164,39.839,77.6488,115.3439,
165,39.9042,77.6889,115.3922,
166,39.9775,79.2255,115.4435,
167,40.0447,79.3762,115.4901,
168,40.1177,79.4135,115.5379,
169,40.1813,79.4507,115.5909,
170,40.2542,79.4857,115.6385,
171,40.318000000000005,80.9572,115.6828,
172,40.391,80.9932,115.8364,
173,40.4556,81.0342,115.8788,
174,40.535,81.0798,118.0281,
175,40.5997,81.1154,120.0234,
176,40.673,81.1512,121.943,
177,40.7364,81.199,121.9904,
178,40.8102,81.2349,122.0502,
179,40.8744,81.2716,122.0996,
180,40.9452,81.317,122.1435,
181,41.0247,81.3506,122.1888,
182,41.0906,81.3864,122.2319,
183,41.1555,82.8615,122.28299999999999,
184,41.2282,83.1718,122.3314,
185,41.293,83.2061,122.3758,
186,41.3622,83.2415,122.4196,
187,41.4269,83.2755,124.5411,
188,41.4916,83.3181,126.5359,
189,41.5614,83.3541,128.42700000000002,
190,41.6264,83.389,130.5317,
191,41.6999,84.9272,130.8985,
192,41.7646,84.9674,130.9444,
193,41.8356,85.02,131.0073,
194,41.9093,85.0643,131.0568,
195,41.9743,85.101,131.1061,
196,42.0443,85.1471,131.1517,
197,42.1092,85.1829,131.1983,
198,42.1809,85.2215,131.2471,
199,42.2458,85.2618,131.2925,
200,42.3128,85.2991,131.3488,
201,42.3845,85.3391,131.4059,
202,42.4505,86.884,131.4527,
203,42.5194,86.9241,131.505,
204,42.5851,86.9692,131.55100000000002,
205,42.6517,87.0073,131.5949,
206,42.7168,87.044,131.6364,
207,42.7818,87.0838,131.6837,
208,42.8491,87.1188,133.5441,
209,42.9139,87.1536,135.6202,
210,42.9824,87.1913,137.549,
211,43.0456,87.2251,138.0425,
212,43.1149,87.2587,138.0962,
213,43.1782,87.29899999999999,140.0782,
214,43.2421,87.3339,140.3817,
215,43.3113,87.3895,140.4334,
216,43.3752,87.4368,140.4823,
217,43.4441,87.4754,140.5491,
218,43.5094,87.51100000000001,142.4283,
219,43.5791,87.5517,142.9043,
220,43.6433,87.5857,142.9499,
221,43.7143,87.6206,144.9766,
222,43.778,89.1635,146.9032,
223,43.8419,90.7523,147.2189,
224,43.911,90.7924,147.2685,
225,43.9753,90.8332,147.3147,
226,44.0443,90.8679,147.364,
227,44.1092,90.906,147.4104,
228,44.1777,90.9419,147.4553,
229,44.2417,90.9788,147.5353,
230,44.3128,91.0154,147.5853,
231,44.3765,91.0511,147.6308,
232,44.4406,92.6396,147.6838,
233,44.5094,92.6748,147.7289,
234,44.5731,92.7097,147.7828,
235,44.641999999999996,92.7498,149.8121,
236,44.7065,92.7839,151.7463,
237,44.7756,92.8186,151.7899,
238,44.8393,94.35,151.8334,
239,44.9105,94.3876,151.8803,
240,44.9747,96.07700000000001,151.9231,
241,45.0387,97.515,151.9665,
242,45.1073,97.5937,152.0183,
243,45.1711,97.6399,152.0598,
244,45.2395,97.6836,152.1033,
245,45.3042,97.7215,152.1499,
246,45.3726,97.7708,152.1936,
247,45.4374,97.8098,152.2404,
248,45.5006,97.84899999999999,152.28799999999998,
249,45.5681,97.8938,152.3297,
250,45.6334,97.9321,152.3815,
251,45.698,97.9702,152.424,
252,45.7703,98.0177,152.4654,
253,45.8381,98.0591,152.5092,
254,45.9039,98.0937,152.5505,
255,45.9792,98.1396,152.593,
256,46.0443,99.7121,152.6366,
257,46.1163,99.8859,152.6781,
258,46.1975,101.3989,152.73,
259,46.2619,101.4391,152.7733,
260,46.336999999999996,101.4814,152.8143,
261,46.4017,101.5196,152.8582,
262,46.475,101.5611,152.9023,
263,46.5549,101.5998,154.8704,
264,46.6197,101.6351,156.8949,
265,46.6948,101.6751,157.1576,
266,46.7595,103.2218,157.2071,
267,46.8316,103.2677,157.2563,
268,46.9113,103.3145,157.3055,
269,46.9758,103.3523,157.3493,
270,47.0508,103.3888,157.3931,
271,47.1164,104.9206,157.4381,
272,47.1889,105.2351,157.481,
273,47.2682,105.2695,157.5257,
274,47.333,105.3048,157.5686,
275,47.4079,105.3485,157.6161,
276,47.4753,105.3834,157.661,
277,47.5476,105.4213,157.7047,
278,47.6272,105.4572,157.7498,
279,47.6938,105.495,157.7927,
280,47.7693,105.5301,157.8401,
281,47.8348,105.5669,157.8854,
282,47.9082,105.6091,157.9335,
283,47.9881,105.64399999999999,157.9768,
284,48.052,105.6814,158.0211,
285,48.1274,105.7172,160.0371,
286,48.193000000000005,105.7535,160.5991,
287,48.2647,105.7889,160.6446,
288,48.3302,105.8273,160.7041,
289,48.4005,105.8716,160.7659,
290,48.4659,105.9076,160.8114,
291,48.538000000000004,107.4378,160.8633,
292,48.6037,107.47399999999999,160.9129,
293,48.6772,107.5099,160.9813,
294,48.742,109.12899999999999,161.0299,
295,48.806999999999995,109.1668,161.0964,
296,48.8784,109.2037,161.1515,
297,48.9428,109.2415,161.2019,
298,49.0072,109.2806,161.2638,
299,49.0784,109.3163,161.3352,
300,49.1439,109.3525,161.3928,
301,49.2171,109.3914,161.4539,
302,49.2822,110.9516,161.4991,
303,49.3519,112.585,161.5454,
304,49.4163,112.91,163.5351,
305,49.4876,112.9778,163.9378,
306,49.5516,113.0135,163.9857,
307,49.6227,113.5709,166.0837,
308,55.2053,113.609,166.2511,
309,61.1653,113.6461,166.2973,
310,66.7647,113.6883,166.34599999999998,
311,72.6603,113.723,166.4345,
312,78.4438,113.7626,166.4896,
313,84.9324,113.8015,166.5391,
314,90.9306,113.8359,166.5926,
315,97.4413,113.8757,166.6707,
316,103.4155,113.9093,166.7175,
317,109.5704,113.9479,166.766,
318,115.5701,113.9997,166.8107,
319,121.7427,114.0334,166.8547,
320,127.463,114.0734,166.9167,
321,133.3071,114.1089,166.9643,
322,138.9979,114.1457,167.012,
323,144.5148,114.1823,167.0535,
324,150.1518,114.2199,167.0982,
325,155.82399999999998,115.74700000000001,169.1706,
326,161.5149,117.28399999999999,169.7664,
327,167.5731,117.5829,169.8109,
328,173.5052,117.6223,169.8623,
329,179.4665,117.6566,169.9054,
330,185.5668,117.6979,169.9489,
331,,117.7353,170.0134,
332,,117.7741,170.0602,
333,,117.8215,170.108,
334,,117.8591,170.1538,
335,,117.899,170.1974,
336,,117.9354,170.2402,
337,,117.9717,170.2918,
338,,118.0128,172.3355,
339,,118.0505,174.3148,
340,,118.0876,174.5102,
341,,118.1249,174.5581,
342,,118.165,174.6111,
343,,118.2073,174.6547,
344,,118.2446,174.6984,
345,,118.2836,174.7481,
346,,118.321,174.7968,
347,,118.35600000000001,174.84799999999998,
348,,118.4006,174.8917,
349,,120.0396,174.938,
350,,121.5839,174.9838,
351,,121.6285,175.0372,
352,,121.7571,175.0818,
353,,121.7919,175.1321,
354,,121.8292,175.8365,
355,,121.8666,175.8815,
356,,121.9078,175.9452,
357,,121.9461,175.9942,
358,,121.9852,176.0475,
359,,122.0327,176.0952,
360,,122.068,176.1537,
361,,122.1055,176.1994,
362,,123.6419,176.2524,
363,,124.01100000000001,176.3002,
364,,124.0484,176.3555,
365,,124.1107,176.3993,
366,,124.1471,176.4493,
367,,124.1885,176.4942,
368,,125.7145,178.3849,
369,,125.8743,178.9989,
370,,125.9137,179.0449,
371,,125.9532,179.1021,
372,,125.9937,179.153,
373,,126.0322,179.209,
374,,126.0715,179.2593,
375,,126.1184,179.3123,
376,,126.1567,179.3583,
377,,126.198,179.4211,
378,,126.2354,179.467,
379,,126.2742,179.5208,
380,,126.3174,179.5659,
381,,126.3536,179.6226,
382,,127.8596,179.6707,
383,,128.1613,,
384,,128.1962,,
385,,128.2375,,
386,,128.281,,
387,,128.3158,,
388,,128.3518,,
389,,128.8675,,
390,,128.9035,,
391,,128.946,,
392,,128.9843,,
393,,129.0225,,
394,,129.0617,,
395,,129.1,,
396,,129.1385,,
397,,129.1738,,
398,,129.2079,,
399,,129.2444,,
400,,130.7751,,
401,,131.1788,,
402,,131.2199,,
403,,131.262,,
404,,131.3005,,
405,,131.3395,,
406,,131.3776,,
407,,131.4155,,
408,,133.0354,,
409,,133.1429,,
410,,133.1965,,
411,,133.239,,
412,,133.2811,,
413,,134.8106,,
414,,134.8467,,
415,,134.8825,,
416,,136.4988,,
417,,136.5364,,
418,,136.5787,,
419,,136.6158,,
420,,136.6568,,
421,,136.6948,,
422,,136.7306,,
423,,138.194,,
424,,138.4878,,
425,,138.5239,,
426,,138.5599,,
427,,138.6007,,
428,,138.6349,,
429,,138.6718,,
430,,140.129,,
431,,140.1664,,
432,,140.2037,,
433,,140.245,,
434,,140.2882,,
435,,140.32299999999998,,
436,,140.3589,,
437,,140.3938,,
438,,140.4296,,
439,,140.4729,,
440,,140.5087,,
441,,140.5496,,
442,,142.0403,,
443,,142.1238,,
444,,142.165,,
445,,142.2105,,
446,,142.2539,,
447,,142.2909,,
448,,142.3289,,
449,,142.365,,
450,,143.97299999999998,,
451,,144.009,,
452,,144.0438,,
453,,144.0785,,
454,,144.1161,,
455,,144.1511,,
456,,144.1861,,
457,,144.2297,,
458,,144.2635,,
459,,144.3016,,
460,,144.3355,,
461,,144.3713,,
462,,144.4136,,
463,,144.4504,,
464,,144.4883,,
465,,144.52200000000002,,
466,,144.5564,,
467,,144.5996,,
468,,144.6353,,
469,,146.1347,,
470,,146.4491,,
471,,146.4914,,
472,,146.5294,,
473,,146.571,,
474,,146.6154,,
475,,148.1784,,
476,,148.4679,,
477,,148.5117,,
478,,150.0762,,
479,,150.1128,,
480,,150.1539,,
481,,150.1925,,
482,,150.2296,,
483,,151.8453,,
484,,151.8869,,
485,,151.9484,,
486,,151.9898,,
487,,152.0249,,
488,,152.0607,,
489,,152.1009,,
490,,152.1345,,
491,,152.1706,,
492,,152.3176,,
493,,152.3537,,
494,,152.3994,,
495,,152.4449,,
496,,152.485,,
497,,152.5233,,
498,,152.5667,,
499,,152.6046,,
500,,152.6505,,
501,,152.6955,,
502,,152.7344,,
503,,152.8116,,
504,,152.84799999999998,,
505,,152.9163,,
506,,152.9766,,
507,,153.0113,,
508,,153.0493,,
509,,154.6091,,
510,,154.6457,,
511,,154.6812,,
512,,154.7413,,
513,,154.7796,,
514,,154.8173,,
515,,154.8537,,
516,,154.9023,,
517,,154.937,,
518,,154.9751,,
519,,156.5179,,
520,,156.5959,,
521,,156.6322,,
522,,156.6698,,
523,,156.7081,,
524,,156.7434,,
525,,156.7814,,
526,,156.8235,,
527,,156.858,,
528,,156.8952,,
529,,156.9328,,
530,,156.9672,,
531,,157.0066,,
532,,157.0451,,
533,,157.0867,,
534,,157.1256,,
535,,157.161,,
536,,157.2031,,
537,,157.2386,,
538,,157.2751,,
539,,157.3122,,
540,,157.3485,,
541,,159.00799999999998,,
542,,159.0436,,
543,,159.0789,,
544,,159.1198,,
545,,159.1562,,
546,,159.1954,,
547,,159.2329,,
548,,159.2695,,
549,,159.3102,,
550,,159.3465,,
551,,159.3845,,
552,,159.4179,,
553,,159.454,,
