,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,0.00016436,-3
1,0.0,0.0,0.0,0.00016436,-2
2,0.0,0.0,0.0,0.00016436,-1
3,0.074736,0.041919,0.8900100000000001,0.22177,0
4,0.15922999999999998,0.041919,0.8900100000000001,0.87976,1
5,0.15922999999999998,0.041919,1.0613,1.1835,2
6,0.15922999999999998,0.041919,1.1468,2.0484,3
7,0.17715999999999998,0.11780999999999998,1.2269,3.7835,4
8,0.47123999999999994,0.57253,1.2994,3.7835,5
9,0.4891,0.58715,2.7975,3.8422,6
10,0.5138,0.63851,2.8182,35.0091,7
11,0.56588,0.65337,2.8634,88.4073,8
12,0.59388,0.68112,2.9571,154.275,9
13,1.5584,2.9693,2.9737,,10
14,7.5911,6.2951,3.0121,,11
15,12.0321,8.4969,3.6611,,12
16,19.1567,11.2709,20.8117,,13
