,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.118e-05,-3
1,0.0,0.0,0.0,3.118e-05,-2
2,0.0,0.0,0.0,3.118e-05,-1
3,1.2801,0.29494000000000004,0.22538000000000002,0.34471999999999997,0
4,2.6899,0.29494000000000004,0.22538000000000002,0.55814,1
5,7.6642,0.29494000000000004,1.3127,0.6640199999999999,2
6,8.0086,0.29494000000000004,2.3436,0.77291,3
7,8.6087,0.38003000000000003,2.875,0.77291,4
8,9.4862,0.43543999999999994,2.875,0.88295,5
9,10.3698,0.5213800000000001,3.0239999999999996,0.88295,6
10,10.6596,,3.6151,0.88295,7
