,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.9511999999999998e-05,-3
1,0.0,0.0,0.0,2.9511999999999998e-05,-2
2,0.0,0.0,0.0,2.9511999999999998e-05,-1
3,0.19929000000000002,0.034339999999999996,0.11288,0.17598,0
4,0.83294,0.034339999999999996,0.11288,0.44345,1
5,0.83294,0.034339999999999996,0.24313,1.3181,2
6,0.83294,0.034339999999999996,0.27184,1.5822,3
7,0.8384299999999999,0.084473,0.32905999999999996,1.9351,4
8,55.9195,0.092489,0.33859,2.0193,5
9,,0.11077000000000001,0.39395,2.0193,6
10,,0.14551,0.41022,2.0998,7
11,,0.1565,0.42933000000000004,3.6185,8
12,,0.16274,0.42933000000000004,43.5335,9
13,,0.17518,0.47917,,10
14,,0.19239,0.58386,,11
15,,0.23171999999999998,0.72021,,12
16,,0.32383,0.7331,,13
