,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,5.897e-05,-3
1,0.0,0.0,0.0,5.897e-05,-2
2,0.0,0.0,0.0,5.897e-05,-1
3,0.11275,0.01182,0.040260000000000004,0.21439,0
4,0.11275,0.01182,0.040260000000000004,0.21439,1
5,0.11275,0.01182,0.072434,0.31998000000000004,2
6,0.11275,0.01182,0.10207999999999999,0.31998000000000004,3
7,0.11275,0.018692,0.1136,0.31998000000000004,4
8,0.12195,0.027923000000000003,0.1136,0.98664,5
9,0.13255,0.035787,0.12478,0.98664,6
10,0.14419,0.042316,0.14599,0.98664,7
11,0.15572,0.051614,0.1657,0.98664,8
12,0.15999000000000002,0.058417,0.17306,0.98664,9
13,0.1741,0.064264,0.19263,1.0459,10
14,0.18592,0.071175,0.21213,,11
15,0.19024000000000002,0.08052999999999999,0.21949000000000002,,12
16,0.20168,0.086319,0.23874,,13
17,0.21694000000000002,0.09324299999999999,,,14
