,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,9.941899999999999e-05,-3
1,0.0,0.0,0.0,9.941899999999999e-05,-2
2,0.0,0.0,0.0,9.941899999999999e-05,-1
3,1.0638,0.10003,0.14819000000000002,0.49813,0
4,1.4949,0.10003,0.14819000000000002,0.8928799999999999,1
5,1.4949,0.10003,0.25904,1.1558,2
6,1.5496,0.14885,0.39928,1.2817,3
7,1.5496,0.23387,0.44441,1.3213,4
8,1.6109,0.5905,0.48766000000000004,1.403,5
9,1.6483,0.77175,0.52693,1.5326,6
10,1.7752,,0.52693,1.6563,7
11,1.8345,,0.5773,2.4825,8
12,1.8769999999999998,,0.59422,12.4636,9
13,5.1392,,0.63258,,10
14,7.9347,,0.7209800000000001,,11
15,9.6688,,0.8240000000000001,,12
16,27.3375,,0.95691,,13
