,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.1608e-05,-3
1,0.0,0.0,0.0,3.1608e-05,-2
2,0.0,0.0,0.0,3.1608e-05,-1
3,1.1901,0.052202,0.8577100000000001,0.060504999999999996,0
4,1.8541,0.052202,0.8577100000000001,0.41963,1
5,2.242,0.052202,2.5276,0.5367,2
6,2.242,0.052202,4.5604,0.59499,3
7,2.356,0.11688,4.9663,0.6534300000000001,4
8,8.5577,0.13005999999999998,5.0995,0.6534300000000001,5
9,8.5577,0.15145999999999998,5.2186,0.6534300000000001,6
10,8.5577,0.20004,5.3276,40.7622,7
11,8.574,0.21989,5.3276,42.6526,8
12,8.6058,0.23101,5.4357,83.1556,9
13,9.3113,0.35358,5.4896,133.7946,10
14,13.2685,1.8318,5.6798,,11
15,16.3418,3.2458,7.5673,,12
16,36.2979,3.9387,8.4113,,13
