,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,8.1009e-05,-3
1,0.0,0.0,0.0,8.1009e-05,-2
2,0.0,0.0,0.0,8.1009e-05,-1
3,0.033375,0.0,0.8509899999999999,0.09990399999999999,0
4,0.076174,0.021844,0.8509899999999999,0.23970999999999998,1
5,0.09303600000000001,0.021844,0.88654,0.73575,2
6,0.12893,0.021844,0.96441,0.80155,3
7,0.15944,0.045489,1.0075,0.80155,4
8,0.17304,0.045489,1.0305,0.80155,5
9,0.19823,0.086242,1.0573,0.86761,6
10,0.20864000000000002,0.13117,1.1351,1.004,7
11,0.22989,0.17631,,2.5843,8
12,0.2468,,,133.9325,9
13,0.26325,,,,10
14,0.28846,,,,11
15,0.34734,,,,12
