,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.1464e-05,-3
1,0.0,0.0,0.0,3.1464e-05,-2
2,0.0,0.0,0.0,3.1464e-05,-1
3,0.046561,0.0,0.0,0.078878,0
4,0.10213,0.0,0.919,0.078878,1
5,0.11975,0.020081,1.153,1.4373,2
6,0.15056,0.020081,1.2692,1.5021,3
7,0.18177000000000001,0.05745499999999999,1.3153,1.5021,4
8,0.19460999999999998,0.067397,1.3579,1.7037,5
9,0.21793,0.085143,1.3579,2.1035,6
10,0.23071,0.099589,1.3915,5.0858,7
11,0.25467,82.8522,53.1008,17.9186,8
12,0.27159,,,17.9186,9
13,0.28931,,,,10
14,0.33635,,,,11
