,RALM,REPM(LQH),REPM(LSE),RSQO
157,41.2961,38.1863,,30.1427
158,41.3539,38.218,,30.3295
159,41.4117,38.2507,,30.5179
160,41.4698,38.28,,30.7083
161,41.5277,38.3116,,30.9055
162,41.5855,38.3444,,31.0925
163,41.6431,38.3721,,31.2801
164,41.7023,38.4047,,31.4728
165,41.7606,38.4373,,31.665
166,41.8179,38.4699,,31.8492
167,41.8758,38.4985,,32.0386
168,41.9335,38.5319,,32.227
169,41.9919,38.5611,,32.4193
170,42.0501,38.5935,,32.6129
171,42.1075,38.6226,,32.7966
172,42.1653,38.6544,,32.9799
173,42.2228,38.6837,,33.1617
174,42.2804,38.7152,,33.3477
175,42.3389,38.7436,,33.5316
176,42.3968,38.7763,,33.7187
177,42.4546,38.8063,,33.9029
178,42.5124,38.8398,,34.0908
179,42.5698,38.8707,,34.2765
180,42.6279,38.9039,,34.4646
181,42.6858,38.9317,,34.6532
182,42.7438,38.9641,,34.8456
183,42.8019,38.9927,,35.0353
184,42.8595,39.0268,,35.2291
185,42.9179,39.0553,,35.4131
186,42.9757,39.088,,35.6083
187,43.0342,39.1157,,35.8079
188,43.0922,39.1491,,36.0042
189,43.1497,39.1787,,36.1873
190,43.2073,39.211999999999996,,36.3719
191,43.2648,39.2387,,36.5615
192,43.3221,39.2715,,36.7454
193,43.3799,39.3008,,36.9289
194,43.4374,39.3333,,37.12
195,43.496,39.3637,,37.3005
196,43.5541,39.3967,,37.4874
197,43.6118,39.4245,,37.6849
198,43.6699,39.4577,,37.8755
199,43.7275,39.4884,,38.0594
200,43.7868,39.5229,,38.2483
201,43.8477,39.5516,,38.443000000000005
202,43.9077,39.5846,,38.6283
203,43.9661,39.6169,,38.8101
204,44.0244,39.65,,38.998000000000005
205,44.0835,39.6774,,39.1848
206,44.1429,39.71,,39.3717
207,44.2008,39.7419,,39.5605
208,44.2593,39.7729,,39.7492
209,44.317,39.802,,39.9357
210,44.3746,39.8303,,40.1243
211,44.4331,39.8631,,40.3165
212,44.4914,39.8936,,40.5049
213,44.5492,39.9269,,40.6897
214,44.6074,39.9555,,40.8785
215,44.6655,39.9889,,41.0618
216,44.7245,40.0156,,41.2438
217,44.7828,40.0485,,41.4316
218,44.8411,40.0813,,41.6173
219,44.8989,40.1115,,41.8014
220,44.9568,40.1427,,41.9922
221,45.0148,40.1705,,42.1741
222,45.0725,40.2019,,42.3614
223,45.131,40.2335,,42.5474
224,45.1889,40.2615,,42.7346
225,45.2469,40.2938,,42.9189
226,45.3051,40.3204,,43.1087
227,45.3634,40.3538,,43.2962
228,45.4215,40.383,,43.4847
229,45.4801,40.4157,,43.6691
230,45.5381,40.4449,,43.85
231,45.596000000000004,40.4778,,44.0432
232,45.6546,40.5077,,44.2304
233,45.7121,40.5413,,44.4182
234,45.7698,40.5695,,44.6055
235,45.8286,40.6027,,44.7922
236,45.8865,40.6305,,44.9803
237,45.9454,40.6632,,45.1692
238,46.0033,40.6915,,45.3589
239,46.0613,40.7233,,45.5458
240,46.1189,40.7528,,45.7327
241,46.1776,40.7855,,45.922
242,46.2354,40.8135,,46.1079
243,46.2934,40.8468,,46.2938
244,46.351000000000006,40.8768,,46.4826
245,46.4091,40.9098,,46.6703
246,46.4669,40.9396,,46.8564
247,46.5264,40.9724,,47.0434
248,46.5842,41.0027,,47.2326
249,46.6431,41.0353,,47.4177
250,46.7008,41.0657,,47.6043
251,46.7587,41.0985,,47.7888
252,46.8166,41.129,,47.9776
253,46.8753,41.1621,,48.1681
254,46.9337,41.191,,48.3566
255,46.9918,41.2246,,48.5515
256,47.0498,41.2553,,48.7514
257,47.1082,41.2878,,48.9398
258,47.1663,41.3181,,49.1248
259,47.225,41.3509,,49.3079
260,47.2831,41.383,,49.4941
261,47.3411,41.4159,,49.6826
262,47.3988,41.4438,,49.8731
263,47.457,41.4769,,50.0568
264,47.5147,41.5055,,50.2444
265,47.5737,41.538999999999994,,50.4335
266,47.6317,41.5669,,50.6166
267,47.6892,41.5995,,50.8082
268,47.748000000000005,41.629,,50.994
269,47.8058,41.6618,,51.1783
270,47.8636,41.6924,,51.3675
271,47.9224,41.7249,,51.56
272,47.9812,41.7547,,51.7423
273,48.0389,41.788000000000004,,51.931999999999995
274,48.0967,41.8194,,52.1229
275,48.1542,41.8526,,52.3127
276,48.2123,41.8802,,52.498000000000005
277,48.2709,41.9129,,52.6863
278,48.3303,41.9445,,52.873999999999995
279,48.388000000000005,41.9781,,53.0769
280,48.4461,42.0084,,53.2699
281,48.5039,42.0411,,53.4569
282,48.5615,42.0711,,53.6445
283,48.6215,42.1044,,53.8322
284,48.6796,42.1341,,54.0163
285,48.7376,42.1674,,54.2058
286,48.7952,42.1975,,54.3899
287,48.8531,42.2303,,54.5719
