,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,3.7429000000000004e-05
1,0.9159799999999999,0.006994499999999999,1.4107,0.11352999999999999
2,2.0853,0.012790000000000001,3.1072,0.25278
3,2.2124,0.018504,3.2836,0.39721
4,2.3346,0.024317,3.3529,0.54123
5,2.4523,0.029901,3.3791,0.69316
6,2.575,0.035548,3.4051,0.83691
7,2.6913,0.041143,3.4524,0.97875
8,2.7978,0.046694,3.4757,1.1183
9,2.9035,0.052323,3.5036,1.2635
10,3.0202,0.069854,3.5322,1.4131
11,3.0644,0.089042,3.5558,1.5584
12,3.1547,0.11002,3.5808,1.7021
13,3.2510000000000003,0.1273,3.6045,1.8426
14,3.2701,0.14845,3.6313,1.9835
15,3.2909,0.16591,3.6556,2.125
16,3.3059,0.18582,3.6827,2.2636
17,3.3213,0.20304,3.7071,2.4052
18,3.3435,0.22458000000000003,3.7355,2.5528
19,3.3677,0.24331,3.7615,2.7005
20,3.3882,0.26438,3.7904,2.8417
21,3.4096,0.28449,3.8198,2.9822
22,3.4317,0.30651999999999996,3.8474,3.1248
23,3.4551,0.32746,3.8774,3.2733
24,3.4810000000000003,0.35065999999999997,3.9061,3.4122
25,3.5075,0.37026,3.9372,3.5517
26,3.534,0.39509,3.9673,3.695
27,3.5628,0.41711000000000004,4.0006,3.8368
28,3.5912,0.44133,4.0304,3.9778
29,3.6208,0.46547,4.0618,4.1189
30,3.6524,0.48925,4.0934,4.2584
31,3.6868,0.51331,4.1265,4.3988
32,3.7346,0.53747,4.1589,4.5403
33,3.782,0.56272,4.1909,4.6787
34,3.8304,0.58537,4.2242,4.8176
35,3.8786,0.6120899999999999,4.2565,4.9563
36,3.9279,0.63779,4.3042,5.0978
37,3.9771,0.6634899999999999,4.3371,5.2364
38,4.0244,0.68761,4.3694,5.3755
39,4.0727,0.71257,4.4021,5.5179
40,4.12,0.73602,4.4344,5.6594
41,4.1686,0.76017,4.4669,5.8014
42,4.2164,0.78598,4.5007,5.9429
43,4.2649,0.80953,4.5332,6.0973
44,4.3122,0.83365,4.5659,6.244
45,4.361000000000001,0.85862,4.5981,6.3986
46,4.4092,0.88303,4.6311,6.5395
47,4.4589,0.9070600000000001,4.6631,6.6788
48,4.5059,0.93253,4.6957,6.8213
49,4.5536,0.95605,4.7286,6.9607
50,4.602,0.98335,4.7606,7.1021
51,4.6524,1.0089,4.7941,7.242000000000001
52,4.7009,1.0396,4.8348,7.3823
53,4.7492,1.068,4.8701,7.5261
54,4.7984,1.0957,4.9043,7.6795
55,4.8485,1.1221,4.9374,7.8202
56,4.8957,1.1473,4.9711,7.9614
57,4.944,1.1722,5.0053,8.1007
58,4.9932,1.1977,5.0402,8.2401
59,5.0412,1.2225,5.0728,8.3842
60,5.0887,1.2479,5.1074,8.5222
61,5.1403,1.2722,5.1399,8.6607
62,5.1872,1.2968,5.1723,8.802999999999999
