,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.121e-05,-3
1,0.0,0.0,0.0,3.121e-05,-2
2,0.0,0.0,0.0,3.121e-05,-1
3,0.072935,0.032510000000000004,0.35608,0.20978000000000002,0
4,0.09313400000000001,0.032510000000000004,0.35608,0.9396700000000001,1
5,0.09313400000000001,0.032510000000000004,0.41271,1.0009,2
6,0.09313400000000001,0.032510000000000004,0.46735,1.0009,3
7,0.098594,0.041237,0.49506000000000006,1.064,4
8,0.11685,0.055787,0.49506000000000006,1.064,5
9,0.12408,0.07309299999999999,0.52535,1.064,6
10,0.14264000000000002,0.083563,0.54732,1.064,7
11,0.1545,0.097049,0.5781,1.064,8
12,0.17371,0.097049,0.5781,1.1244,9
13,0.18589,0.12059,0.61778,,10
14,0.20465,0.13760999999999998,0.64431,,11
15,0.21763000000000002,0.14557,0.67757,,12
16,0.22985,0.16247,0.70092,,13
17,0.25034,0.19269,0.73731,,14
18,,0.2194,,,15
