,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.1768000000000005e-05,-3
1,0.0,0.0,0.0,3.1768000000000005e-05,-2
2,0.0,0.0,0.0,3.1768000000000005e-05,-1
3,1.0283,0.0,1.4954,0.44196,0
4,1.0927,0.049326999999999996,1.4954,1.0643,1
5,1.1992,0.049326999999999996,3.4858,9.8862,2
6,1.2477,0.049326999999999996,3.6689,10.6374,3
7,1.3256,0.11112999999999999,3.7664,10.8198,4
8,1.3607,0.17694000000000001,3.8417,10.8198,5
9,1.4225,0.1922,3.9355,10.9998,6
10,1.4587,0.33046,92.7835,15.752,7
11,1.5225,,,51.8166,8
