,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.2001e-05,-3
1,0.0,0.0,0.0,3.2001e-05,-2
2,0.0,0.0,0.0,0.32201,-1
3,1.2887,0.049541,1.7506,0.64304,0
4,1.3621,0.049541,1.7506,4.0542,1
5,1.3621,0.049541,3.3158,7.1198,2
6,1.3979,0.049541,3.7205,7.4124,3
7,1.4115,0.080377,3.8315,7.4124,4
8,1.4496,0.099446,3.9366,7.7022,5
9,1.4803,0.13619,4.0156,7.7022,6
10,1.5217,0.16035,4.1007,7.7022,7
11,1.5586,0.19155999999999998,4.1916,12.1836,8
12,1.5825,0.21969,4.2843,,9
13,1.6230000000000002,0.26792,4.4077,,10
14,1.6909,0.32832,4.6735,,11
15,1.7721,0.39695,4.9121,,12
16,1.8913,0.46174,5.2228,,13
17,1.9584,0.6854899999999999,5.7288,,14
