,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.7429000000000004e-05,-3
1,0.0,0.0,0.0,3.7429000000000004e-05,-2
2,0.0,0.0,0.0,3.7429000000000004e-05,-1
3,2.0853,0.0,1.4107,0.11352999999999999,0
4,2.3346,0.0,1.4107,0.11352999999999999,1
5,2.4523,0.0,3.1072,0.11352999999999999,2
6,2.6913,0.0,3.2836,0.11352999999999999,3
7,2.7978,0.0,3.3529,0.11352999999999999,4
8,3.0202,0.0,3.4051,0.25278,5
9,3.1547,0.0,3.4524,0.25278,6
10,3.2510000000000003,0.0,3.5322,116.6127,7
11,,0.63779,3.8774,139.6046,8
12,,1.7454,,,9
