,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.346e-05,-3
1,0.0,0.0,0.0,3.346e-05,-2
2,0.0,0.0,0.0,0.20944000000000002,-1
3,2.6163,0.35965,1.7035,0.6049899999999999,0
4,2.6163,0.35965,1.7035,1.9429,1
5,2.6163,0.35965,3.4945,2.1278,2
6,2.6163,0.35965,7.4516,2.3132,3
7,10.8194,0.4115,7.7317,21.6168,4
8,,2.1087,7.9989,21.8044,5
9,,2.3765,8.2198,21.9892,6
10,,,8.2745,22.366999999999997,7
11,,,8.5372,31.3604,8
12,,,8.6011,95.027,9
13,,,8.6516,,10
14,,,9.1334,,11
15,,,13.1205,,12
16,,,18.2043,,13
