,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.0615e-05,-3
1,0.0,0.0,0.0,3.0615e-05,-2
2,0.0,0.0,0.0,3.0615e-05,-1
3,1.3008,0.061451,1.6735,0.56186,0
4,1.5843,0.061451,1.6735,2.3596,1
5,1.5843,0.061451,2.0876,3.5645,2
6,1.5843,0.061451,2.4533,3.7494,3
7,1.7092,0.14904,2.6002,3.9339999999999997,4
8,1.8163,0.19755,2.6614,4.1199,5
9,1.9528,0.24711,2.6804,4.1199,6
10,2.1681,0.36815,2.8112,4.3099,7
11,2.2251,0.37573,2.9434,4.3099,8
12,2.4231,0.41173999999999994,3.0854,64.4041,9
13,8.2574,0.81747,3.1531,,10
14,14.1578,1.4302,3.3446,,11
15,18.7548,2.0435,4.8478,,12
16,35.7262,2.4835,6.2885,,13
17,,7.7368,,,14
