"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,-0.050652,4.7879,8.7221e-05,NaN,NaN,NaN,NaN,0.45018,0.097514,
1,-0.21108,4.3363,0.10983,1,0,1.0832,1,1.6645e-14,3.028e-15,
2,-0.41596,0.58642,0.18537,0.5,0,0.34562,1,0,0,
3,-0.51447,0.36741,0.26604,0.5,0,0.21181,1,0,0,
4,-0.58148,0.093229,0.33632,1,0,0.24243,1,0,0,
5,-0.58378,0.055485,0.40813,0.5,0,0.037015,1,0,0,
6,-0.58494,0.038092,0.48383,0.5,0,0.028185,1,0,0,
7,-0.58605,0.016869,0.56092,1,0,0.044816,1,0,0,
8,-0.58645,0.011202,0.6361,1,0,0.029764,1,6.7914e-14,6.1447e-15,
9,-0.58667,0.0084639,0.70414,1,0,0.022484,1,0,0,
10,-0.5868,0.0065669,0.77157,1,0,0.017443,1,2.2868e-14,9.1473e-16,
11,-0.58688,0.0051342,0.84144,1,0,0.013637,1,0,0,
12,-0.58693,0.0040263,0.9344,1,0,0.010695,1,0,0,
13,-0.58696,0.0031628,1.0115,1,0,0.0084017,1,0,0,
14,-0.58698,0.0024874,1.1307,1,0,0.0066081,1,0,0,
15,-0.58699,0.0019579,1.1994,1,0,0.0052019,1,0,0,
16,-0.587,0.0015422,1.2755,1,0,0.0040976,1,0,0,
17,-0.587,0.0012153,1.3573,1,0,0.0032293,1,0,0,
18,-0.587,0.00095805,1.4345,1,0,0.0025459,1,0,0,
19,-0.58701,0.00075548,1.5125,1,0,0.0020077,1,0,0,
20,-0.58701,0.00059587,1.5825,1,0,0.0015836,1,0,0,
21,-0.58701,0.00047006,1.6637,1,0,0.0012492,1,0,0,
22,-0.58701,0.00037085,1.7429,1,0,0.00098562,1,0,0,
23,-0.58701,0.00029261,1.8116,1,0,0.00077769,1,0,0,
24,-0.58701,0.0002309,1.8835,1,0,0.00061367,1,0,0,
25,-0.58701,0.0001822,1.9655,1,0,0.00048427,1,0,0,
26,-0.58701,0.00014379,2.0447,1,0,0.00038216,1,0,0,
27,-0.58701,0.00011347,2.1249,1,0,0.00030159,1,0,0,
28,-0.58701,8.9551e-05,2.2006,1,0,0.00023802,1,0,0,
