"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,-0.11452,2.9497,0.00011327,NaN,NaN,NaN,NaN,0.30734,0.078316,
1,-0.21848,0.70351,0.04047,1,0,0.5759,1,7.4026e-15,8.5549e-16,
2,-0.24498,0.23793,0.074885,0.5,0,0.10056,1,0,0,
3,-0.26079,0.1802,0.10904,0.5,0,0.079112,1,0,0,
4,-0.27028,0.13706,0.14012,0.5,0,0.062878,1,0,0,
5,-0.28064,0.075084,0.17292,1,0,0.10173,1,0,0,
6,-0.28486,0.050384,0.2146,1,0,0.069385,1,1.6677e-14,1.6677e-15,
7,-0.28728,0.03958,0.24633,1,0,0.054834,1,0,0,
8,-0.289,0.033969,0.28073,1,0,0.047195,1,3.1754e-13,3.1754e-14,
9,-0.29036,0.030339,0.31953,1,0,0.042223,1,0,0,
10,-0.29147,0.02769,0.35297,1,0,0.03858,1,8.9727e-13,8.9727e-14,
11,-0.29242,0.025507,0.38402,1,0,0.035562,1,1.7488e-14,1.7488e-15,
12,-0.29322,0.023494,0.42084,1,0,0.032764,1,0,0,
13,-0.2939,0.021623,0.45564,1,0,0.030151,1,0,0,
14,-0.29448,0.019867,0.49172,1,0,0.027686,1,5.7411e-14,5.7514e-15,
15,-0.29496,0.018217,0.52618,1,0,0.025363,1,0,0,
16,-0.29536,0.016675,0.58079,1,0,0.023187,1,0,0,
17,-0.2957,0.015238,0.63893,1,0,0.021158,1,0,0,
18,-0.29598,0.013907,0.67501,1,0,0.019278,1,0,0,
19,-0.29622,0.012678,0.71551,1,0,0.017543,1,0,0,
20,-0.29629,0.0055036,0.75984,1,0,0.0075999,1,0,0,
21,-0.29631,0.0029789,0.79535,1,0,0.0041103,1,0,0,
22,-0.29631,0.0017472,0.83219,1,0,0.0024103,1,0,0,
23,-0.29631,0.0010575,0.86811,1,0,0.0014588,1,0,0,
24,-0.29631,0.00065706,0.9008,1,0,0.00090642,1,0,0,
25,-0.29631,0.00041645,0.93317,1,0,0.00057453,1,0,0,
26,-0.29631,0.00026768,0.96336,1,0,0.0003693,1,0,0,
27,-0.29631,0.00017368,1.0009,1,0,0.00023962,1,0,0,
28,-0.29631,0.00011337,1.0312,1,0,0.00015642,1,0,0,
29,-0.29631,7.4293e-05,1.0667,1,0,0.00010251,1,0,0,
