"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,-0.12449,4.7386,5.1729e-05,NaN,NaN,NaN,NaN,0.39149,0.092057,
1,-0.47866,1.782,0.10706,1,0,1.1542,1,0,0,
2,-0.59657,0.29887,0.18929,0.5,0,0.32643,1,0,0,
3,-0.62995,0.16167,0.27394,0.5,0,0.16093,1,0,0,
4,-0.64012,0.086384,0.37253,0.5,0,0.08869,1,0,0,
5,-0.6434,0.046162,0.49553,0.5,0,0.051299,1,0,0,
6,-0.64519,0.0040199,0.59419,1,0,0.061603,1,0,0,
7,-0.64523,0.0011476,0.69288,1,0,0.017728,1,0,0,
8,-0.64524,0.00045155,0.78085,1,0,0.0070107,1,9.8857e-15,6.4298e-16,
9,-0.64524,0.00018165,0.87938,1,0,0.0028264,1,0,0,
10,-0.64524,7.3173e-05,0.97312,1,0,0.0011395,1,8.724e-14,3.4896e-15,
