"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,45.5598,6.2953,5.777e-05,NaN,NaN,NaN,NaN,1,7.1876,2.8507,2.8507,
1,32.6984,26.0407,0.0078801,0.25,0,2.5641,1,4.7895,8.6889,2.8493,2.8493,
2,26.5756,106.0683,0.016445,0.0625,0,2.7535,1,17.5754,6.9251,2.689,2.689,
3,26.5284,34.8982,0.025754,0.0019531,0,0.024528,1,17.5754,6.958,2.6878,2.6878,
4,26.5278,3493.2426,0.039108,1.8626e-09,0,0.00032051,1,607.5215,6.9585,2.6878,2.6878,
5,26.5165,183.8851,0.049203,0.00012207,0,0.0063877,1,607.5215,6.967,2.6878,2.6878,
6,26.514,324.2002,0.059243,7.6294e-06,0,0.0014482,1,607.5215,6.9689,2.6878,2.6878,
7,31.8086,245.834,0.068366,0.0039063,0,1.5995,1,607.5215,9.4444,1.2863,1.2863,
8,34.0985,401.6425,0.076013,0.015625,0,2.061,1,607.5215,5.455,0.59128,0.59128,
9,33.2752,6.1694,0.085358,1,0,0.18977,1,607.5215,6.2086,0.22785,0.22785,
10,33.2368,14.5466,0.098445,0.0019531,0,0.0076674,1,607.5215,6.2403,0.22774,0.22774,
11,33.1397,14.4495,0.11036,0.015625,0,0.019091,1,607.5215,6.3174,0.22638,0.22638,
12,33.087,21.327,0.12759,0.0039063,0,0.010244,1,607.5215,6.3593,0.22613,0.22613,
13,33.0545,28.1022,0.14624,0.0019531,0,0.006304,1,607.5215,6.3849,0.22593,0.22593,
14,33.0146,35.3542,0.16269,0.0019531,0,0.0077208,1,607.5215,6.4162,0.22586,0.22586,
15,32.9973,52.5087,0.17954,0.00048828,0,0.0033393,1,607.5215,6.4297,0.22582,0.22582,
16,32.9786,65.2404,0.19366,0.00048828,0,0.0036197,1,607.5215,6.4442,0.22579,0.22579,
17,32.9641,91.2755,0.20987,0.00024414,0,0.0028038,1,607.5215,6.4554,0.22578,0.22578,
18,32.9535,130.8447,0.22726,0.00012207,0,0.0020617,1,607.5215,6.4636,0.22578,0.22578,
19,32.9455,192.0164,0.24607,6.1035e-05,0,0.0015486,1,607.5215,6.4697,0.22578,0.22578,
20,32.939,296.3584,0.26707,3.0518e-05,0,0.0012497,1,607.5215,6.4747,0.22579,0.22579,
21,32.9325,530.0774,0.28508,1.5259e-05,0,0.0012678,1,607.5215,6.4797,0.22579,0.22579,
22,32.931,2807.6923,0.30107,2.3842e-07,0,0.00028033,1,1519.3946,6.4808,0.22579,0.22579,
23,32.9307,12065.3609,0.31445,1.4901e-08,0,6.1978e-05,1,6530.8563,6.481,0.22579,0.22579,
