"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,44.6725,5.7015e-05,NaN,NaN,NaN,NaN,NaN,8.8262,8.8262,
1,44.6725,0.036382,32.8649,0.25,0,3.6714,1,3.8516,3.8516,
2,36.7919,0.067436,0.56698,1,0,0.55965,1,1.7933,1.7933,
3,40.9841,0.10462,2.6677,0.0625,0,1.7955,1,0.18726,0.18726,
4,38.1031,0.13981,2.1663,0.015625,0,1.4372,1,0.18158,0.18158,
5,36.9514,0.1788,1.3786,0.00097656,0,1.1132,1,0.035574,0.035574,
6,37.0263,0.20687,0.035452,1,0,0.03545,1,0.0091042,0.0091042,
7,36.7421,0.26189,0.32942,0.00097656,0,0.32388,1,0.0053269,0.0053269,
8,36.7759,0.28768,0.013894,1,0,0.013894,1,0.0014173,0.0014173,
9,36.914,0.33487,0.3225,0.0625,0,0.31818,1,0.00028823,0.00028823,
10,36.9203,0.36162,0.0022886,0.25,0,0.0022886,1,0.00025446,0.00025446,
11,36.713,0.43022,0.1332,1.5259e-05,0,0.13282,1,5.3416e-05,5.3416e-05,
12,36.7136,0.45654,0.00024428,0.015625,0,0.00024428,1,5.3017e-05,5.3017e-05,
