"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,410.3132,5.5127e-05,NaN,NaN,NaN,NaN,NaN,11.6069,11.6069,
1,410.3132,0.32885,1.3536,0.00097656,0,1.0351,1,10.7103,10.7103,
2,403.5146,0.46925,0.25182,1,0,0.25174,1,3.4175,3.4175,
3,399.7046,1.3447,1.8062,0.00024414,0,1.2108,1,2.6621,2.6621,
4,399.3203,1.4718,0.061436,0.125,0,0.061434,1,2.5395,2.5395,
5,394.4196,1.8193,1.7516,6.1035e-05,0,1.1248,1,1.6927,1.6927,
6,390.0885,2.2297,1.4242,7.6294e-06,0,1.0309,1,0.91289,0.91289,
7,390.3255,2.3855,0.068217,1,0,0.068215,1,0.25131,0.25131,
8,387.4579,3.1016,1.08,3.0518e-05,0,0.89643,1,0.077049,0.077049,
9,387.4411,3.226,0.0051751,0.03125,0,0.0051751,1,0.076105,0.076105,
10,385.6517,3.8919,0.84377,6.1035e-05,0,0.74334,1,0.016523,0.016523,
11,384.6159,4.8637,0.69483,1.5259e-05,0,0.64434,1,0.0083956,0.0083956,
12,383.5675,5.422,0.63981,1.5259e-05,0,0.60081,1,0.007534,0.007534,
13,382.4761,6.2272,0.44884,0.00024414,0,0.43461,1,5.6942e-05,5.6942e-05,
14,382.4744,6.3476,0.00054512,1,0,0.00054512,1,1.6261e-05,1.6261e-05,
15,382.3915,6.7387,0.08357,1.1921e-07,0,0.083405,1,3.2653e-07,3.2653e-07,
16,382.3831,7.7257,0.035018,3.7253e-09,0,0.035011,1,1.8616e-09,1.8616e-09,
17,382.383,7.8541,3.7607e-06,1,0,3.7607e-06,1,5.5468e-10,5.5468e-10,
